Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Apoptosis, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Carbohydrate Derivative Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Tartrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Nucleoside Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Nucleoside Phosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Negative Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Flagellated Sperm Motility -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Response To Tacrolimus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Odontoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Negative Regulation Of Odontoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Odontoblast Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Lactone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: Synapse, Immune Response, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Vasculature Development -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Vasculature Development Involved In Avascular Cornea Development In Camera-Type Eye -> Biodomain: Vasculature, Proteostasis, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Heterocyclic Compound Binding -> Biodomain: Epigenetic, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Lipid Hydroperoxide Transport -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Immune Response, Metal Binding and Homeostasis, Apoptosis
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Immune Response
GO Term: Negative Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Autophagy, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism
GO Term: Azole Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Immune Response
GO Term: Pyruvate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Oleate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Apoptosis
GO Term: Regulation Of Cysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Diphenyl Ether -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Carbohydrate Derivative Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Anion Channel Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Endolysosome
GO Term: Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Response To Fenofibrate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Response To Metformin -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Paraquat -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Fatty Acid Derivative Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Fatty Acid Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Fatty Acid Derivative Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Dendritic Microtubule -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Autophagy
GO Term: Response To Capsazepine -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Apoptosis, Endolysosome
GO Term: Alpha-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Vesicle Transport Along Microtubule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Phosphatidylglycerol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Apoptosis, Myelination
GO Term: Cardiolipin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Cellular Response To Ergosterol -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Transmembrane Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Autophagy, Immune Response
GO Term: Negative Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Synoviocyte Proliferation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Autophagy, Proteostasis
GO Term: Response To Peptide -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Peptide -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Response To Ketone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Calcium Ion Export -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Quinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Quinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Immune Response
GO Term: Positive Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Endolysosome, Autophagy
GO Term: Sulfur Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response
GO Term: Arsenate Ion Transmembrane Transport -> Biodomain: Ion Channel, Toxic Response, Cellular Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Glutathione Derivative Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Proton Binding -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Cannabinoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Cellular Response To Oxygen-Containing Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Mesenchymal Cell Differentiation Involved In Bone Development -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Leptomycin B Binding -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Vasculature
GO Term: Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, DNA Repair, Lipid Metabolism
GO Term: Positive Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Quercetin Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Myoblast Fusion -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Myoblast Fusion -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Myoblast Fusion -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Leukotriene D4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Leukotriene D4 Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Leukotriene A4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Leukotriene A4 Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Benzoyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Autophagy, Epigenetic
GO Term: Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Beta-Glucoside Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Beta-Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Autophagy
GO Term: Zeaxanthin Catabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Zeaxanthin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Positive Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, RNA Spliceosome
GO Term: Negative Regulation Of High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Synapse, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Muscle Tissue Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Regulation Of Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Cell Junction Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Immune Response
GO Term: Positive Regulation Of Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Cell Cycle
GO Term: Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Negative Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Apoptosis, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Positive Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Diadenosine Pentaphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Diadenosine Hexaphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Adenosine 5'-(Hexahydrogen Pentaphosphate) Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Anterograde Dense Core Granule Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Phosphatidylinositol Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Protein Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Ketamine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Proteostasis
GO Term: Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Negative Regulation Of Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Epigenetic, Proteostasis
GO Term: Homogentisate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metabolic Pathways, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Positive Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Negative Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: L-Histidine Transport -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Nadp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Response To L-Glutamate -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Response To Salt -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome, Metal Binding and Homeostasis
GO Term: Cellular Response To Salt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
