Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Immune Response
GO Term: Insulin Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Sequence-Specific Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism  
Lipid Metabolism  
Proteostasis  
Autophagy  
Oxidative Stress
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Lipid Metabolism, Epigenetic
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, DNA Repair
GO Term: Ear Development -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Myelination, Synapse
GO Term: Nose Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Unknown
GO Term: Nose Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Synapse, Endolysosome, Unknown
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Epigenetic, Unknown
GO Term: Skin Development -> Biodomain: Structural Stabilization, Immune Response, Epigenetic, Apoptosis, Vasculature
GO Term: Skin Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Nitrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Amide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Amide Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis,RNA Spliceosome,Mitochondrial Metabolism,Oxidative Stress,Autophagy
GO Term: Astrocyte Cell Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis, Apoptosis
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Response To Estrogen -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Vasculature
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Unknown
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Host Cell -> Biodomain: Structural Stabilization, Endolysosome, Immune Response, Autophagy, Apoptosis
GO Term: Axon Terminus -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature, Proteostasis
GO Term: Cell Dedifferentiation -> Biodomain: Developmental Biology, Cell Cycle, Stem Cell, Epigenetic, Autophagy
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytidine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: Epigenetic, RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Immune Response
GO Term: Acireductone Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy
GO Term: Suramin Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Proteostasis, Oxidative Stress
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Vasculature, Apoptosis
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Synapse, Autophagy, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response
GO Term: Cellular Component Maintenance -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, Apoptosis
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Metal Binding and Homeostasis
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Regulation Of System Process -> Biodomain: Vasculature, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Regulation Of Respiratory System Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Oxidative Stress, Endolysosome, Synapse, Vasculature, Apoptosis
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Cytolytic Granule -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Unknown, RNA Spliceosome, DNA Repair, Autophagy
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Unknown, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Translation Initiation Ternary Complex -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Unknown
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Unknown, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Unknown, Epigenetic, DNA Repair
GO Term: Ctp Salvage -> Biodomain: Nucleotide Metabolism, Nucleoside Phosphate Metabolism, Pyrimidine Metabolism, Ribonucleotide Metabolism, Small Molecule Metabolic Process
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Autophagy, Proteostasis
GO Term: Apical Pole Of Neuron -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Organelle Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Vasculature
GO Term: Polysaccharide Digestion -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Cell-Cell Contact Zone -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Vasculature, Proteostasis
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Endolysosome
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Cell Body -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis, Endolysosome
GO Term: C-Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Tau Homeostasis
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Main Axon -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Lipid Metabolism
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, Epigenetic, Autophagy, DNA Repair, Immune Response
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Synapse, Apoptosis
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Response To Leptin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, Cell Cycle, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Transmembrane Transporter Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis
GO Term: Dendritic Spine Neck -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, APP Metabolism
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Cell Cycle
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Autophagy
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Cell Cycle, Vasculature, Lipid Metabolism, Epigenetic, Immune Response
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Endolysosome
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Macropinosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Rrna Stability -> Biodomain: Proteostasis, Epigenetic, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, APP Metabolism
GO Term: Regulation Of Peroxisome Size -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Unknown
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Structural Stabilization, DNA Repair
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Enzyme Binding, Proteasome
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, Mitochondrial Metabolism, RNA Spliceosome, Autophagy
GO Term: Microspike -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Unknown
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Unknown
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Unknown
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response
GO Term: Nsl Complex -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Apoptosis, Immune Response
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Synapse, Vasculature, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Daunorubicin Metabolic Process -> Biodomain: Oxidative Stress, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Unknown
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Protein Metabolic Process, Macromolecule Metabolic Process, Metabolic Process, Cellular Process
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Structural Stabilization, Endolysosome, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Epigenetic, Immune Response, Autophagy, Apoptosis, Proteostasis
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Tooth Eruption -> Biodomain: Apoptosis, Autophagy, Structural Stabilization, Immune Response, Vasculature
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis
