Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Glutathione Disulfide Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Beta3-Adrenergic Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Oxidative Stress, Autophagy
GO Term: Gastrin Receptor Activity -> Biodomain: Signaling, Cell Cycle, Lipid Metabolism, Immune Response, Vasculature
GO Term: Secretin Receptor Activity -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Corticotrophin-Releasing Factor Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Synapse, Vasculature, Epigenetic
GO Term: Thrombin-Activated Receptor Activity -> Biodomain: Vasculature, Signaling, Proteostasis, Immune Response, Protease
GO Term: Amidinotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Glycine Amidinotransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Dna Integration -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Monoatomic Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Synapse, Oxidative Stress
GO Term: Proton Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Potassium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Synapse
GO Term: Silver Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Sodium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism, Structural Stabilization, Vasculature
GO Term: Calcium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Synapse, Endolysosome
GO Term: Cadmium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cobalt Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ferrous Iron Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Lead Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Magnesium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Molybdate Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Nickel Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Vanadium Ion Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Organic Cation Transmembrane Transporter Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Bicarbonate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Chloride Transmembrane Transporter Activity -> Biodomain: Endolysosome, Synapse, Myelination, Vasculature, Immune Response
GO Term: Iodide Transmembrane Transporter Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Nitrate Transmembrane Transporter Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Oxidative Stress, Proteostasis
GO Term: Sulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Thiosulfate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Canalicular Bile Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Endolysosome
GO Term: Bilirubin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lactate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Mevalonate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Oxaloacetate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Prostaglandin Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Sialic Acid Transmembrane Transporter Activity -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Citrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Fumarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Alpha-Ketoglutarate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Malate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Succinate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Tricarboxylic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Urate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism
GO Term: Carbohydrate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Vasculature, Myelination, Proteostasis
GO Term: Pentose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Hexose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Structural Stabilization, Endolysosome
GO Term: Fucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, APP Metabolism, Immune Response, Lipid Metabolism
GO Term: Alpha-Glucoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Glucose-6-Phosphate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glucuronoside Transmembrane Transporter Activity -> Biodomain: Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Pyrimidine Nucleotide-Sugar Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Polyol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Glycerol Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Acidic Amino Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Aromatic Amino Acid Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Basic Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Neutral L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: L-Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: L-Alanine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Asparagine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: L-Aspartate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Transport, Metabolic Processes, Lipid Metabolism, Oxidative Stress
GO Term: L-Cystine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Gamma-Aminobutyric Acid Transmembrane Transporter Activity -> Biodomain: Synapse, Transporter Activity, Neurotransmission, Amino Acid Transport, Neurotransmitter Transport
GO Term: L-Glutamine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Glycine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: L-Isoleucine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Lysine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: L-Leucine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: L-Methionine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: L-Phenylalanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: L-Proline Transmembrane Transporter Activity -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: L-Serine Transmembrane Transporter Activity -> Biodomain: Amino Acid Metabolism, Membrane Transport, Cellular Metabolism, Proteostasis, Lipid Metabolism
GO Term: L-Threonine Transmembrane Transporter Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: L-Tryptophan Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Immune Response
GO Term: Amino-Acid Betaine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Methylammonium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Polyamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Urea Transmembrane Transporter Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Immune Response, Autophagy, Proteostasis
GO Term: Nucleobase Transmembrane Transporter Activity -> Biodomain: Cell Cycle, DNA Repair, Endolysosome, Autophagy, Epigenetic
GO Term: Adenine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Guanine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Uracil Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Endolysosome
GO Term: Purine Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Cytidine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Uridine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pyrimidine Nucleoside Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Endolysosome, Immune Response
GO Term: Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Immune Response
GO Term: Purine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Adp Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Pyrimidine Nucleotide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Proteostasis
GO Term: Choline Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Biotin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: O-Acyl-L-Carnitine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Coenzyme A Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Ascorbic Acid Transmembrane Transporter Activity -> Biodomain: Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Fad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Heme Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Pantothenate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Thiamine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Aminophospholipid Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Water Channel Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Proton Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Glycerol Channel Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Methylammonium Channel Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Urea Channel Activity -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature
GO Term: Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Outward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Immune Response, Myelination
GO Term: Atp-Activated Inward Rectifier Potassium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Apoptosis, Immune Response
GO Term: Stretch-Activated, Monoatomic Cation-Selective, Calcium Channel Activity -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Synapse, Oxidative Stress
GO Term: Ligand-Gated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Apoptosis
GO Term: Kainate Selective Glutamate Receptor Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Intracellularly Gated Calcium Channel Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Store-Operated Calcium Channel Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Ligand-Gated Sodium Channel Activity -> Biodomain: Synapse, Myelination, Vasculature, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Porin Activity -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Synapse
GO Term: Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Solute:Proton Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Monoatomic Anion:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Antiporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: D-Glucose Uniporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Immune Response, Autophagy
GO Term: Monoamine:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism
GO Term: Polyamine:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Cell Cycle, Epigenetic
GO Term: Phosphate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Cystine:Glutamate Antiporter Activity -> Biodomain: Oxidative Stress, Synapse, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Peptide:Proton Symporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Sodium-Independent Organic Anion Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Thyroid Hormone Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Methotrexate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Secondary Active Monocarboxylate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Synapse, Autophagy
GO Term: Low-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: High-Affinity Sodium:Dicarboxylate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Oxoglutarate:Malate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Calcium:Monoatomic Cation Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Calcium:Proton Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Solute:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Synapse, Vasculature
GO Term: Galactose:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Monoatomic Anion:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Neutral, Basic Amino Acid:Sodium:Chloride Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Glycine:Sodium Symporter Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Chloride:Monoatomic Cation Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Vasculature, Endolysosome
GO Term: Sodium:Chloride Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Potassium:Chloride Symporter Activity -> Biodomain: Vasculature, Myelination, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Sodium:Sulfate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Sulfate:Bicarbonate Antiporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Vasculature, Autophagy, Oxidative Stress
GO Term: Sodium:Proton Antiporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Vasculature
GO Term: Potassium:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Synapse
GO Term: Pyrimidine- And Adenosine-Specific:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Purine-Specific Nucleoside:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Abc-Type Manganese Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Abc-Type Taurine Transporter Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Abc-Type Polyamine Transporter Activity -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Structural Stabilization, Lipid Metabolism
GO Term: Abc-Type Vitamin B12 Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Abc-Type Oligopeptide Transporter Activity -> Biodomain: Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Abc-Type Glutathione S-Conjugate Transporter Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Abc-Type Bile Acid Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Abc-Type Peptide Antigen Transporter Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Abc-Type Heme Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Abc-Type Peptide Transporter Activity -> Biodomain: Proteostasis, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: P-Type Magnesium Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Protein-Transporting Atpase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, APP Metabolism
GO Term: Potassium Channel Regulator Activity -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Acetylcholine Receptor Activity -> Biodomain: Synapse, Signaling Receptor, Neurotransmission, Ion Channel, Postsynaptic Function
GO Term: G-Protein Activated Inward Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis
GO Term: Cholesterol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Putrescine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Gamma-Aminobutyric Acid:Proton Symporter Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Pantothenate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Formate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Epigenetic, DNA Repair
GO Term: Glutamate:Sodium Symporter Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Galactose:Proton Symporter Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Sialic Acid:Proton Symporter Activity -> Biodomain: Carbohydrate Metabolism, Mitochondrial Metabolism, Ion Homeostasis, Endolysosome, Autophagy
GO Term: Propionate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
