Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: U6 Snrna (Adenine-(43)-N(6))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Unknown, Unknown, Unknown
GO Term: Snrna (Adenine-N6)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Ribitol Beta-1,4-Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Unknown
GO Term: Large Intestinal Transit -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Small Intestinal Transit -> Biodomain: Vasculature, Lipid Metabolism, Immune Response, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Gastric Emptying -> Biodomain: Synapse, Vasculature, Immune Response, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Stomach Fundus Smooth Muscle Contraction -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Positive Regulation Of Pyloric Antrum Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Endocardial Cushion Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Cell Cycle
GO Term: Crotonyl-Coa Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Autophagy, Apoptosis
GO Term: Vacuole-Isolation Membrane Contact Site -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Procentriole -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Procentriole Replication Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Centriolar Subdistal Appendage -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Dna-3'-Diphospho-5'-Guanosine Diphosphatase -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization, Oxidative Stress
GO Term: Neuron Projection Cytoplasm -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Sm-Like Protein Family Complex -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Lsm2-8 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Unknown, Autophagy
GO Term: Glucagon Processing -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: T Cell Meandering Migration -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Proximal Portion Of Axoneme -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Vasculature, Oxidative Stress
GO Term: Distal Portion Of Axoneme -> Biodomain: Structural Stabilization, Tau Homeostasis, Vasculature, Synapse, Oxidative Stress
GO Term: Sulfatide Binding -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Synapse
GO Term: Formylglycine-Generating Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Calcium-Dependent Carbohydrate Binding -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Synapse
GO Term: Negative Regulation Of Erbb4 Signaling Pathway -> Biodomain: Proteostasis, Apoptosis, Vasculature, Structural Stabilization, Immune Response
GO Term: Par Polarity Complex -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Unknown, Epigenetic
GO Term: Positive Regulation Of Collagen Catabolic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Immune Response, Apoptosis
GO Term: Intraciliary Transport Particle A Binding -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome, Autophagy
GO Term: Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cold-Induced Thermogenesis -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Detection Of Hot Stimulus Involved In Thermoception -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Unknown
GO Term: Detection Of Cold Stimulus Involved In Thermoception -> Biodomain: Synapse, Myelination, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Intraciliary Transport Particle B Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Steroid Hormone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Adherens Junction Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Focal Adhesion Disassembly -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Focal Adhesion Disassembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Negative Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Chromatin -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Bile Acid Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Unknown
GO Term: Tight Junction Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Immune Response
GO Term: Mucociliary Clearance -> Biodomain: Immune Response, Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Cone Photoreceptor Outer Segment -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Rod Photoreceptor Outer Segment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Rod Photoreceptor Disc Membrane -> Biodomain: Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Photoreceptor Distal Connecting Cilium -> Biodomain: Cilia, Photoreceptor Cell, Structural Stabilization, Protein Complex Assembly, Synapse
GO Term: Proacrosomal Vesicle Fusion -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Sperm Head-Tail Coupling Apparatus -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Matrilin Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Unknown, Immune Response
GO Term: Subapical Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Basal Body Patch -> Biodomain: Structural Stabilization, Unknown, Proteostasis, Cell Cycle, Endolysosome
GO Term: Maintenance Of Ciliary Planar Beating Movement Pattern -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Blastocyst Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, Mitochondrial Metabolism
GO Term: Larynx Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Immune Response
GO Term: Coenzyme A Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Succinyl-Coa Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Outer Dynein Arm Docking Complex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Protein Localization To Motile Cilium -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Immune Response, Synapse
GO Term: Recombinase Activator Activity -> Biodomain: DNA Repair, Immune Response, Epigenetic, Cell Cycle, Apoptosis
GO Term: Dna Recombinase Auxiliary Factor Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Stereocilium Coat -> Biodomain: Structural Stabilization, Endolysosome, Synapse, Proteostasis, Lipid Metabolism
GO Term: 2-Iminobutanoate/2-Iminopropanoate Deaminase -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: 2-Iminobutanoate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: 2-Iminopropanoate Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Lateral Wall Of Outer Hair Cell -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Lipid Metabolism, Endolysosome
GO Term: Hydrocarbon Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Olefinic Compound Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: 7Sk Snrnp -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown
GO Term: Virus Coreceptor Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Autolysosome Membrane -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Autolysosome Lumen -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Serine/Threonine Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Dynein Axonemal Particle -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Unknown, Autophagy
GO Term: Peptide Serotonyltransferase Activity -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Vasculature
GO Term: Histone Serotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Peptide Dopaminyltransferase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Histone Dopaminyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Unknown
GO Term: Peptide Noradrenalinyltransferase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Peptide Histaminyltransferase Activity -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Peptide Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Histone Lactyltransferase (Coa-Dependent) Activity -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Background Adaptation -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Sperm Flagellum Assembly -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Synapse
GO Term: Sperm Mitochondrial Sheath Assembly -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Long-Chain Fatty Acid Omega-1 Hydroxylase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: Lipid Ubiquitination -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Nurd Complex Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Unknown, Proteostasis
GO Term: Rixosome Complex -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, DNA Repair, Cell Cycle
GO Term: Radial Spoke Head 1 -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Radial Spoke Head 2 -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Radial Spoke Head 3 -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Unknown
GO Term: F-Actin Monooxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna-Guanine Transglycosylase Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Gdp-Mannose Pyrophosphorylase Complex -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Unknown
GO Term: Hydroxypyruvate Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Unknown
GO Term: Mitochondrial [4Fe-4S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-(3-Amino-3-Carboxypropyl)Histidine Synthase Complex -> Biodomain: Epigenetic, Proteostasis, Unknown, Structural Stabilization, Mitochondrial Metabolism
GO Term: Fatty Acid-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Diacylglycerol Lipase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Unknown, Oxidative Stress, Endolysosome
GO Term: Protein N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Tubulin N-Terminal-Methionine Acetyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Tau Homeostasis, APP Metabolism
GO Term: Free Fatty Acid 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Structural Stabilization
GO Term: 4-Hydroxysphinganine Ceramide Fatty Acyl 2-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Prenyl Diphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: 3-Demethylubiquinone 3-O-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: 2-Methoxy-6-Polyprenolphenol 4-Hydroxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: 4-Hydroxy-3-Methoxy-5-Polyprenylbenzoate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ethanol Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, DNA Repair
GO Term: Heme A Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphatidylinositol Phospholipase C Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Unknown
GO Term: Methyltransferase Cap2 Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Unknown
GO Term: 2-Oxoglutarate Decarboxylation To Succinyl-Coa -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Branched-Chain Alpha-Keto Acid Decarboxylation To Branched-Chain Acyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Morula Formation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Histone H3K4Me3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Apoptosis
GO Term: Histone H3K36Me3 Reader Activity -> Biodomain: Epigenetic, Unknown, Structural Stabilization, Cell Cycle, DNA Repair
GO Term: Histone H3Q5Ser Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Histone H4K20Me2 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Kicstor Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Histone H4 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: L-Aspartate Import Across Plasma Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Oxidative Stress, Metal Binding and Homeostasis
GO Term: D-Aspartate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Histone H4K12Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H4K5Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Mitotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Histone H3K14Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H3K18Cr Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Cytoplasmic Translational Fidelity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Apoptosis
GO Term: Histone H3K9Cr Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Apoptosis, Autophagy
GO Term: Mitochondrial Adp Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Ubiquitin Proteasome Pathway
GO Term: Phosphorylation-Dependent Protein Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Glycosylation-Dependent Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Immune Response
GO Term: Acetylation-Dependent Protein Binding -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Autophagy, APP Metabolism
GO Term: Methylation-Dependent Protein Binding -> Biodomain: Epigenetic, Proteostasis, APP Metabolism, DNA Repair, Metal Binding and Homeostasis
GO Term: Ubiquitin-Like Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome
GO Term: Ubiquitin-Modified Protein Reader Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Epigenetic
GO Term: Histone H3K27Cr Reader Activity -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Cellular Detoxification Of Methylglyoxal -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Lipid Droplet Formation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Histone H3K18Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Histone H4K16Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Manganese Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Endocardial Cushion To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cellular Response To Oxidised Low-Density Lipoprotein Particle Stimulus -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Vasculature, Apoptosis
GO Term: Histone H4K8Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Organelle Localization By Membrane Tethering -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Neuron Projection Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Dendrite Arborization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Axon Arborization -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Unmodified Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Peptide Crotonyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Peptide Butyryltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Peptidyl-Lysine Crotonylation -> Biodomain: Epigenetic, Proteostasis, Lipid Metabolism, DNA Repair, APP Metabolism
GO Term: Peptidyl-Lysine Butyrylation -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Histone Crotonyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone Butyryltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Hydrogen Peroxide Channel Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Histone H3K9Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Cardiac Endothelial To Mesenchymal Transition -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lipoprotein Transport -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Class I Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Epigenetic, Metal Binding and Homeostasis
GO Term: Glycosylated Region Protein Binding -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Sumo-Ubiquitin Ligase Activity -> Biodomain: Proteostasis, Ubiquitin Proteasome System, Autophagy, Oxidative Stress, Apoptosis
GO Term: Atp-Dependent Protein-Dna Unloader Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Acetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Storage -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Membrane Curvature Sensor Activity -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism, Synapse
GO Term: Bbaf Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Synapse
GO Term: Structural Constituent Of Cytoplasmic Lattice -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cytoplasmic Lattice -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Unknown
GO Term: Catalytic Activity, Acting On A Protein -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Catalytic Activity, Acting On Dna -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Catalytic Activity, Acting On Rna -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Catalytic Activity, Acting On A Trna -> Biodomain: Protein Synthesis, Proteostasis, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Molecular Carrier Activity -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Vasculature
GO Term: Interleukin-10-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Histone H3K4Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Extracellular Vesicle Biogenesis -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Export Across Plasma Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Histone H4K20Me1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Histone H3K23Ac Reader Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H3K27Ac Reader Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Lewy Body Formation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Histone H1 Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
