Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Phosphatidylinositol 3-Kinase Binding -> Biodomain: Lipid Metabolism, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Lipid Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Translation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Translational Initiation In Response To Stress -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Insulin Binding -> Biodomain: Proteostasis, Lipid Metabolism, APP Metabolism, Epigenetic, Cell Cycle
GO Term: Insulin Receptor Substrate Binding -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Ku70:Ku80 Complex -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Epigenetic, Proteostasis
GO Term: Sequence-Specific Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, APP Metabolism, Proteostasis
GO Term: Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis, Autophagy
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Chromatin Organization, DNA Replication, Genome Stability
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Ear Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Nose Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Epigenetic
GO Term: Nose Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Endolysosome
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Vasculature
GO Term: Skin Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Skin Morphogenesis -> Biodomain: Developmental Process, Organ Development, Structural Stabilization, Extracellular Matrix Organization, Immune Response
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Nitrate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Amide Biosynthetic Process -> Biodomain: Proteostasis, APP Metabolism, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Amide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Astrocyte Cell Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Cytoskeleton, Microtubule, Cell Polarity, Organelle Organization
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy
GO Term: Response To Estrogen -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Autophagy, Endolysosome, Proteostasis, Apoptosis
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Structural Stabilization, Endolysosome, Autophagy
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Host Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: Axon Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Protein Metabolism, Structural Stabilization, Macromolecule Metabolism, Autophagy
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Autophagy, Oxidative Stress
GO Term: Cell Dedifferentiation -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Structural Stabilization, Epigenetic
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis, Cell Cycle
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cytidine Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycine Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Acireductone Synthase Activity -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Phosphate Homeostasis, Proteostasis
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: Metal Binding and Homeostasis, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, DNA Repair
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Suramin Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Synapse
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Proteostasis, Apoptosis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Component Maintenance -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Apoptosis
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Apoptosis
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Regulation Of System Process -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Respiratory System Process -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Cytolytic Granule -> Biodomain: Endolysosome, Immune Response, Apoptosis, Proteostasis, Synapse
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, RNA Spliceosome
GO Term: Translation Initiation Ternary Complex -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Structural Stabilization
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, DNA Repair, Epigenetic
GO Term: Ctp Salvage -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Apical Pole Of Neuron -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome
GO Term: Organelle Membrane Contact Site -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polysaccharide Digestion -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Cell-Cell Contact Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Vasculature
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Myelination
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Cell Body -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: C-Fiber -> Biodomain: Synapse, Tau Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Main Axon -> Biodomain: Structural Stabilization, Synapse, Myelination, Neuronal System, Proteostasis
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Proteostasis
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Wound Healing, Cell Motility, Tissue Repair, Tissue Morphogenesis, Response to Stress
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Response To Leptin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Immune Response, Vasculature
GO Term: Transmembrane Transporter Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dendritic Spine Neck -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Proteostasis
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Immune Response
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Structural Stabilization, Vasculature
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Macropinosome -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, Autophagy, Endolysosome, DNA Repair, Apoptosis
GO Term: Regulation Of Rrna Stability -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Regulation Of Peroxisome Size -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cellular Process, Autophagy, Cell Cycle
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin-Proteasome System, Endolysosome
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Microspike -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Oxidative Stress, Epigenetic, Autophagy
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Structural Stabilization
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nsl Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Inflammasome-mediated signaling, Innate Immunity, Inflammation, Cytokine Production
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, Tau Homeostasis, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Oxidative Stress, Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Endolysosome, Apoptosis
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Daunorubicin Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, DNA Repair, Lipid Metabolism
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Endolysosome
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, DNA Repair
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Nucleotide Transport, Proteostasis, Metal Binding and Homeostasis
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Endolysosome
