Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Insulin Signaling, Growth Factor Signaling, Receptor Signaling, Metabolism, Hormone Signaling
GO Term: Maintenance Of Dna Repeat Elements -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Regulation Of Respiratory Gaseous Exchange -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Nuclear Matrix Organization -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Ear Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Nose Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Synapse, Epigenetic
GO Term: Nose Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Tongue Development -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Epigenetic, Apoptosis
GO Term: Tongue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Myelination, Immune Response, Proteostasis
GO Term: Skin Development -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Unknown
GO Term: Skin Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Nuclear Replication Fork -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Nitrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Amide Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Structural Stabilization
GO Term: Amide Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Regulation Of Carbon Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Carbohydrate Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Multi-Eif Complex -> Biodomain: Proteostasis, Protein Synthesis, Cellular Processes, Molecular Machinery, Gene Expression and Regulation
GO Term: Astrocyte Cell Migration -> Biodomain: Vasculature, Immune Response, APP Metabolism, Structural Stabilization, Synapse
GO Term: Keratinocyte Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Oxidative Stress
GO Term: Cortical Microtubule Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Delta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Pcna Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Unknown
GO Term: Response To Estrogen -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Polyadenylation-Dependent Ncrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Unknown
GO Term: Inositol Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Endolysosome, Apoptosis
GO Term: Dicarboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Dicarboxylic Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Linoleic Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Engulfment Of Apoptotic Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Mitochondrial Fragmentation Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Recognition Of Apoptotic Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Host Cell -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Vasculature
GO Term: Axon Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: P-Type Divalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse, Tau Homeostasis
GO Term: Co-Translational Protein Modification -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism, Unknown
GO Term: Post-Translational Protein Modification -> Biodomain: Proteostasis, Epigenetic, Apoptosis, Autophagy, DNA Repair
GO Term: Reverse Cholesterol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Cell Dedifferentiation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Epigenetic, Structural Stabilization
GO Term: G/U Mismatch-Specific Uracil-Dna Glycosylase Activity -> Biodomain: DNA Repair, Oxidative Stress, Epigenetic, Structural Stabilization, Unknown
GO Term: Dihydrolipoamide Branched Chain Acyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Unknown
GO Term: 2-Methylbutanoate-Coa Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cytidine Kinase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Glyceraldehyde Oxidoreductase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Unknown
GO Term: Glycine Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Phosphatidylinositol-4-Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Vasculature
GO Term: Phosphatidylinositol-3,5-Bisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Trna-Specific Adenosine-37 Deaminase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Unknown
GO Term: Adp-Specific Glucokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Ras Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Cyclic Nucleotide-Activated Monoatomic Ion Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Acireductone Synthase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: N-Acetylgalactosamine-6-Sulfatase Activity -> Biodomain: Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Unknown
GO Term: L-Seryl-Trna(Sec) Kinase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Unknown
GO Term: Modulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation By Host Of Viral Transcription -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Suramin Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Ossification Involved In Bone Maturation -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Ossification Involved In Bone Remodeling -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein-Containing Complex Organization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Camp-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Camp-Mediated Signaling -> Biodomain: Immune Response, Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic
GO Term: Cellular Component Maintenance -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, DNA Repair, Endolysosome
GO Term: 3-Hydroxypropionyl-Coa Dehydratase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Histone H3K9 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3K18 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Apoptosis
GO Term: Histone H3K23 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Histone H4K5 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H4K8 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H4K12 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Histone H2A Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H2Ak5 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Mitochondrial Metabolism
GO Term: Histone H2B Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3K4 Acetyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Histone H3K27 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Autophagy
GO Term: Histone H4R3 Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Histone H3S28 Kinase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Histone H2As1 Kinase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Gene Expression Via Chromosomal Cpg Island Methylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Immune Response
GO Term: Positive Regulation Of Gene Expression Via Chromosomal Cpg Island Demethylation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Regulation Of System Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Respiratory System Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Monoatomic Anion Transport -> Biodomain: Synapse, Endolysosome, Vasculature, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Cellular Component Biogenesis -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Vacuole Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Membrane Biogenesis -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Formation Of Structure Involved In A Symbiotic Process -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: Protein Folding Chaperone -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cytolytic Granule -> Biodomain: Immune Response, Endolysosome, Apoptosis, Proteostasis, Autophagy
GO Term: 'De Novo' Ump Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ump Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Autophagy, Unknown
GO Term: Translation Initiation Ternary Complex -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: 'De Novo' Amp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Amp Salvage -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, DNA Repair, Unknown
GO Term: 'De Novo' Ctp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Unknown, Epigenetic
GO Term: Ctp Salvage -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Other Organism Cell Membrane -> Biodomain: Immune Response, Endolysosome, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Juxtaparanode Region Of Axon -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Apical Pole Of Neuron -> Biodomain: Structural Stabilization, Synapse, Myelination, Tau Homeostasis, Endolysosome
GO Term: Organelle Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mitochondria-Associated Endoplasmic Reticulum Membrane Contact Site -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipid Digestion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Polysaccharide Digestion -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Sulfur Compound Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Small Molecule Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Small Molecule Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Mitochondrial Crista Junction -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cell-Cell Contact Zone -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Myelination
GO Term: Dendrite Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Tau Homeostasis
GO Term: Dendriole -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Dendritic Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Axonal Growth Cone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Cell Body -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair, Endolysosome
GO Term: Cell Body Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: C-Fiber -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Cerebellar Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Myelination, Endolysosome
GO Term: Climbing Fiber -> Biodomain: Synapse, Myelination, Structural Stabilization, Unknown, Vasculature
GO Term: Dentate Gyrus Mossy Fiber -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Main Axon -> Biodomain: Structural Stabilization, Myelination, Tau Homeostasis, Synapse, Lipid Metabolism
GO Term: Calyx Of Held -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Vasculature
GO Term: Neuron Projection Terminus -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Apoptosis
GO Term: Dendritic Branch -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Axonal Spine -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Autophagy
GO Term: Neuron Spine -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Protein K6-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein K27-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Epigenetic, DNA Repair, Immune Response
GO Term: Cone Cell Pedicle -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Wound Healing, Spreading Of Cells -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Cellular Response To Leptin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To Leptin -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Endoplasmic Reticulum Quality Control Compartment -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Retinoic Acid-Responsive Element Binding -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Apoptosis
GO Term: Transmembrane Transporter Binding -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dendritic Spine Neck -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Spine Head -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Canonical Wnt Signaling Pathway Involved In Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization, Lipid Metabolism
GO Term: Sodium-Dependent Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Immune Response, Apoptosis, Autophagy
GO Term: Cellular Response To Fibroblast Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Immune Response, Oxidative Stress, Synapse
GO Term: Fibroblast Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Macropinocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Macropinosome -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Clearance Of Foreign Intracellular Dna -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Regulation Of Rrna Stability -> Biodomain: Proteostasis, Oxidative Stress, RNA Spliceosome, Autophagy, Epigenetic
GO Term: Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Peroxisome Size -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Structural Stabilization
GO Term: Non-Sequence-Specific Dna Binding, Bending -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle
GO Term: Protein Localization To Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Glucose Import In Response To Insulin Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Protein Kinase Activity By Regulation Of Protein Phosphorylation -> Biodomain: Proteostasis, Phosphorylation, Apoptosis, Cell Cycle, Epigenetic
GO Term: Small Protein Activating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Ubiquitin-Like Protein Ligase Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Ubiquitin-Like Protein Conjugating Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Autophagy, Epigenetic
GO Term: Microspike -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Oxidative Stress
GO Term: Adhesion Of Symbiont To Host -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Motile Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeleton Organization, Synapse, Cell Cycle
GO Term: Glucagon-Like Peptide 1 Receptor Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Vasculature, Immune Response, Epigenetic
GO Term: Protein Sulfhydration -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Mitochondrial Mrna Stability -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Supraspliceosomal Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: L-Cystine L-Cysteine-Lyase (Deaminating) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Nsl Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Nlrp3 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Dna Topoisomerase Binding -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: S100 Protein Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Gtp Cyclohydrolase Binding -> Biodomain: Vasculature, Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Relaxation Of Smooth Muscle -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Dendritic Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Autophagy, Apoptosis
GO Term: [2Fe-2S] Cluster Assembly -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: [4Fe-4S] Cluster Assembly -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Butyryl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 17-Beta-Hydroxysteroid Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Daunorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Doxorubicin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Ap-5 Adaptor Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Deadenylylation -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Adenylylhydrolase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Dbird Complex -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Fmn Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Nuclear Pore Inner Ring -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nuclear Pore Central Transport Channel -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Nuclear Pore Cytoplasmic Filaments -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, RNA Spliceosome, Unknown
GO Term: Nuclear Pore Nuclear Basket -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Unknown, Cell Cycle
GO Term: Adhesion Of Symbiont To Host Cell -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Endolysosome, Unknown
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Autophagy
GO Term: Tooth Eruption -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Epigenetic, Unknown
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Unknown
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Apoptosis
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Unknown
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Immune Response, Proteostasis, Epigenetic
