Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Kinetochore Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, DNA Repair
GO Term: Kinetochore Organization -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Response To Glucocorticoid -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Response To Mineralocorticoid -> Biodomain: Vasculature, Metal Binding and Homeostasis, Epigenetic, Oxidative Stress, Immune Response
GO Term: Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Trna Acetylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Proteostasis
GO Term: Trna Cytidine N4-Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Alpha-Actinin Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Regulation Of Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization
GO Term: Bh Domain Binding -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Ch Domain Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Stress-Activated Mapk Cascade -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Cell Cycle
GO Term: Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: Detoxification Of Nitrogen Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Immune Response
GO Term: Response To Corticosterone -> Biodomain: Mitochondrial Metabolism, Immune Response, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Cortisone -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Response To Cortisol -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Microtubule Nucleation By Interphase Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Microtubule Nucleation By Microtubule Organizing Center -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Vasculature, Endolysosome
GO Term: Ptb Domain Binding -> Biodomain: Proteostasis, Phosphoproteome, Immune Response, Cell Adhesion, Neurodegeneration
GO Term: Hormone Receptor Binding -> Biodomain: Signal Transduction, Endocrine System, Receptor Activity, Cell Communication, Metabolism
GO Term: Peptide Hormone Receptor Binding -> Biodomain: Proteostasis, Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Receptor Binding -> Biodomain: Immune Response, Synapse, Oxidative Stress, Epigenetic, Autophagy
GO Term: Corticotropin-Releasing Hormone Receptor 1 Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Vasculature
GO Term: Corticotropin-Releasing Hormone Receptor 2 Binding -> Biodomain: Vasculature, Immune Response, Synapse, Lipid Metabolism, Autophagy
GO Term: Bh3 Domain Binding -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Myoblast Proliferation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, DNA Repair, Lipid Metabolism
GO Term: Myoblast Migration -> Biodomain: Cell Motility, Developmental Biology, Muscle Biology, Cell Signaling, Cell Adhesion
GO Term: Intracellular Ph Reduction -> Biodomain: Oxidative Stress, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Intracellular Ph -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Intracellular Ph Elevation -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Spindle Attachment To Meiosis I Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Maintenance Of Protein Location In Nucleus -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Structural Stabilization, Apoptosis
GO Term: Corticotropin Secretion -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Corticotropin Secretion -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Proteostasis, Epigenetic, Lipid Metabolism, Endolysosome
GO Term: Positive Regulation Of Corticotropin Secretion -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cortisol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Neuroendocrine, Hormone Metabolism, Signal Transduction, Neuroinflammation, Stress Response
GO Term: Vesicle Fusion With Vacuole -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Synapse
GO Term: Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis, Immune Response, Epigenetic
GO Term: Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Filopodium Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Negative Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Stress Fiber Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: D-Aminoacyl-Trna Deacylase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Oxidative Stress
GO Term: D-Tyrosyl-Trna(Tyr) Deacylase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Adenine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Negative Regulation Of Unidimensional Cell Growth -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nfat Protein Binding -> Biodomain: Immune Response, Epigenetic, Apoptosis, Cell Cycle, DNA Repair
GO Term: Iron-Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 2 Iron, 2 Sulfur Cluster Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: 3 Iron, 4 Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: 4 Iron, 4 Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Elastin Metabolic Process -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Keratinocyte Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Negative Regulation Of Keratinocyte Migration -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Keratinocyte Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Flavone Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Mitochondrial Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Smooth Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: 5'-Deoxyribose-5-Phosphate Lyase Activity -> Biodomain: DNA Repair, Oxidative Stress, Cell Cycle, Apoptosis, Epigenetic
GO Term: Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Response To Camp -> Biodomain: Signal Transduction, Immune Response, Epigenetic, Mitochondrial Metabolism, Autophagy
GO Term: Response To Calcium Ion -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Synapse, Mitochondrial Metabolism
GO Term: Response To Folic Acid -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Response To Methylglyoxal -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Response To Methylmercury -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Meiotic Recombination Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature, Autophagy
GO Term: Exocyst Localization -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, Autophagy
GO Term: Response To Electrical Stimulus -> Biodomain: Synapse, Myelination, Vasculature, Apoptosis, Cell Cycle
GO Term: Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Protein Maturation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Endolysosome
GO Term: Detection Of Stimulus -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Autophagy
GO Term: Defense Response To Virus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Histamine Transport -> Biodomain: Synapse, Immune Response, Endolysosome, Mitochondrial Metabolism, Proteostasis
GO Term: Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Serotonin Uptake -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Histamine Uptake -> Biodomain: Synapse, Immune Response, Vasculature, Endolysosome, Proteostasis
GO Term: Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Vasculature, Oxidative Stress
GO Term: Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Norepinephrine Uptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Epinephrine Uptake -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Regulation Of Acetylcholine Uptake -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Vasculature, Oxidative Stress
GO Term: Barbed-End Actin Filament Uncapping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Immune Response, Autophagy
GO Term: Actin Filament Network Formation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Organelle Localization -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Synapse
GO Term: Cellular Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum Localization -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Golgi Localization -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Nucleus Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Establishment Of Localization In Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Cell Cycle, Structural Stabilization
GO Term: Establishment Of Vesicle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Maintenance Of Location In Cell -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Establishment Of Mitochondrion Localization -> Biodomain: Mitochondrial Metabolism, Autophagy, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Establishment Of Organelle Localization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Maintenance Of Nucleus Location -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Maintenance Of Mitochondrion Location -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Establishment Of Centrosome Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Maintenance Of Centrosome Location -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Nuclear Pore Localization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Membrane Raft Localization -> Biodomain: Lipid Metabolism, Synapse, Immune Response, APP Metabolism, Structural Stabilization
GO Term: Actin Cortical Patch Localization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Localization Within Membrane -> Biodomain: Proteostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Disruption Of Plasma Membrane Integrity In Another Organism -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Localization Of Cell -> Biodomain: Vasculature, Immune Response, Synapse, Structural Stabilization, Proteostasis
GO Term: Establishment Of Golgi Localization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Endolysosome, Cell Cycle
GO Term: Maintenance Of Golgi Location -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Maintenance Of Er Location -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Pointed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Autophagy
GO Term: Actin Filament Uncapping -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Immune Response, Autophagy
GO Term: Protein Delipidation -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Biological Process Involved In Interaction With Host -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Biological Process Involved In Interaction With Symbiont -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Response To Other Organism -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Killing Of Cells Of Another Organism -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Cytolysis In Another Organism -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: Dna (Cytosine-5-)-Methyltransferase Activity, Acting On Cpg Substrates -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Phosphatase 2A Binding -> Biodomain: Proteostasis, Tau Homeostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Protein C-Terminal Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Protein Methylesterase Activity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Metal Binding and Homeostasis, Endolysosome
GO Term: Nad Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein De-Adp-Ribosylation -> Biodomain: DNA Repair, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Regulation Of Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Proteostasis
GO Term: Germline Cell Cycle Switching, Mitotic To Meiotic Cell Cycle -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, RNA Spliceosome
GO Term: Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: Proteostasis, DNA Repair, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Atp-Dependent Polynucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, RNA Spliceosome
GO Term: Atp-Dependent Polyribonucleotide 5'-Hydroxyl-Kinase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Cytosine C-5 Dna Demethylase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Utp-Monosaccharide-1-Phosphate Uridylyltransferase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Delta(3,5)-Delta(2,4)-Dienoyl-Coa Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Alpha-1,4-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, APP Metabolism, Structural Stabilization, Immune Response
GO Term: Meiotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Apoptosis, Proteostasis
GO Term: Homologous Chromosome Movement Towards Spindle Pole In Meiosis I Anaphase -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Actin Crosslink Formation -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Inositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Epigenetic, Immune Response
GO Term: Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Behavioral Response To Nutrient -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Division -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Autophagy
GO Term: Regulation Of Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: All-Trans-Retinol 13,14-Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Misfolded Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Response To Misfolded Protein -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Short-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Medium-Chain Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Medium-Chain Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Medium-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Timing Of Catagen -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Timing Of Catagen -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, Immune Response
GO Term: Positive Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Negative Regulation Of Hair Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Autophagy
GO Term: Phosphatidylinositol-3,4-Bisphosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synapse Structural Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytolysis By Host Of Symbiont Cells -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Host-Mediated Perturbation Of Symbiont Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Glycolipid Binding -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Endolysosome, Autophagy
GO Term: Histone H3K36 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Cell Cycle, DNA Repair, Proteostasis
GO Term: Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: General Adaptation Syndrome -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: General Adaptation Syndrome, Behavioral Process -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Synapse, Epigenetic
