Running with TEMP=0.5, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Epigenetic, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Autophagy
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Vasculature, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Immune Response, Epigenetic
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Vasculature
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Apoptosis, Autophagy, Cell Cycle, Immune Response, Endolysosome
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Regulation Of Mesoderm Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Mesoderm Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Mesoderm Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Ectoderm Development -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Ubiquitin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Synapse
GO Term: Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Cell Cycle, Apoptosis, Autophagy
GO Term: Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of T Cell Migration -> Biodomain: Immune Response, Cell Migration, Cell Activation, Inflammation, Adaptive Immunity
GO Term: Negative Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Synapse, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Fibronectin-Dependent Thymocyte Migration -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Eosinophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Eosinophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Cytokinesis, Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Synapse, Proteostasis, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, APP Metabolism, Tau Homeostasis, Oxidative Stress
GO Term: Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Positive Regulation Of Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Epigenetic
GO Term: Positive Regulation Of Metanephric Podocyte Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Immune Response, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Granzyme A Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, T Cell Activation, Signaling, Cell Activation, Cell Differentiation
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of T-Helper 1 Cell Activation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Positive Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Synapse, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process Involved In Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Renal Albumin Absorption -> Biodomain: Endolysosome, Proteostasis, Vasculature, Lipid Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Gastrulation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Cell Cycle
GO Term: Negative Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Autophagy
GO Term: Negative Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of T-Helper 1 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Immunoglobulin Production In Mucosal Tissue -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Memory T Cell Activation -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of T-Helper 2 Cell Activation -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Interleukin-4-Dependent Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Dna Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Immune Response
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Metanephric Dct Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, RNA Spliceosome
GO Term: Positive Regulation Of Optic Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Cell Proliferation Involved In Mesonephros Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Thyroid-Stimulating Hormone Secretion -> Biodomain: Synapse, Immune Response, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, DNA Repair, Epigenetic, Autophagy
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mirna Catabolic Process -> Biodomain: Immune Response, Endolysosome, Autophagy, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, Immune Response, Autophagy, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Pre-Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Pre-Mirna Processing -> Biodomain: Epigenetic, Proteostasis, Autophagy, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Primary Mirna Processing -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair
GO Term: Positive Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Immune Response, Cell Cycle, Lipid Metabolism, Oxidative Stress
GO Term: Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Synapse
GO Term: Positive Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Negative Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Proteostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Immune Response, Autophagy
GO Term: Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
