Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Production -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Carbohydrate Derivative Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Tartrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Succinyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Succinyl-Coa Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Nucleoside Phosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Cell Cycle, DNA Repair
GO Term: Nucleoside Phosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, RNA Spliceosome
GO Term: Negative Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Hydrogen Peroxide-Mediated Programmed Cell Death -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Cargo Loading Into Copii-Coated Vesicle -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Spermidine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Flagellated Sperm Motility -> Biodomain: Sperm, Reproduction, Cell Motility, Cellular Processes, Development
GO Term: Negative Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Autophagy
GO Term: Response To Tacrolimus -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Oxidative Stress
GO Term: Regulation Of Odontoblast Differentiation -> Biodomain: Epigenetic, Cell Cycle, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Odontoblast Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Odontoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Lactone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: Oxidative Stress, Apoptosis, Endolysosome, Immune Response, Proteostasis
GO Term: Positive Regulation Of Store-Operated Calcium Channel Activity -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Negative Regulation Of Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Vasculature Development Involved In Avascular Cornea Development In Camera-Type Eye -> Biodomain: Vasculature, Apoptosis, Immune Response, Structural Stabilization, Endolysosome
GO Term: Response To Rapamycin -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Heterocyclic Compound Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, DNA Repair
GO Term: Lipid Hydroperoxide Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Vasculature, Endolysosome
GO Term: Negative Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Vasculature, Synapse, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Vasculature, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Vasculature
GO Term: Negative Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Chorionic Trophoblast Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Oxidative Stress
GO Term: Azole Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Immune Response
GO Term: Pyruvate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Oleate Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Lymphangiogenesis -> Biodomain: Vasculature, Immune Response, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of Cysteine Metabolic Process -> Biodomain: Amino Acid Metabolism, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Response To Diphenyl Ether -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Carbohydrate Derivative Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Mitophagy -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Anion Channel Activity -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Vasculature, Apoptosis
GO Term: Positive Regulation Of Hematopoietic Progenitor Cell Differentiation -> Biodomain: Hematopoiesis, Immune Response, Vasculature, Cell Cycle, Apoptosis
GO Term: Response To Fenofibrate -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Metformin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Response To Paraquat -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Fatty Acid Derivative Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Derivative Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Fatty Acid Derivative Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Dendritic Microtubule -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Response To Capsazepine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Alpha-Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Vesicle Transport Along Microtubule -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Cell Cycle
GO Term: Phosphatidylglycerol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cardiolipin Binding -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Smoothened Signaling Pathway Involved In Dorsal/Ventral Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Ergosterol -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Postsynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Presynaptic Membrane Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Proteostasis
GO Term: Positive Regulation Of Synoviocyte Proliferation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Vasculature, Proteostasis
GO Term: Response To Peptide -> Biodomain: Immune Response, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Cellular Response To Peptide -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Response To Ketone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Calcium Ion Export -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Quinone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Quinone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Superoxide Dismutase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Mitotic Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Nucleotide Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Apoptosis, RNA Spliceosome
GO Term: Sulfur Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Arsenate Ion Transmembrane Transport -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy, Endolysosome
GO Term: Glutathione Derivative Biosynthetic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Proton Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Cannabinoid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Metal Binding and Homeostasis
GO Term: Cellular Response To Oxygen-Containing Compound -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Mesenchymal Cell Differentiation Involved In Bone Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Leptomycin B Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Apoptosis, Immune Response
GO Term: Positive Regulation Of Platelet Aggregation -> Biodomain: Vasculature, Immune Response, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Quercetin Catabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Myoblast Fusion -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Myoblast Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Myoblast Fusion -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Leukotriene D4 Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Leukotriene D4 Biosynthetic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Leukotriene A4 Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Autophagy
GO Term: Leukotriene A4 Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Proteostasis
GO Term: Benzoyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Signal Transduction By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Proteasomal Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Beta-Glucoside Catabolic Process -> Biodomain: Carbohydrate Metabolism, Glycan Metabolism, Metabolic Pathways, Small Molecule Biochemistry, Catabolic Process
GO Term: Beta-Carotene Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Zeaxanthin Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Zeaxanthin Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Deadenylation-Independent Decapping Of Nuclear-Transcribed Mrna -> Biodomain: RNA Spliceosome, Epigenetic, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Positive Regulation Of Transcription Of Nucleolar Large Rrna By Rna Polymerase I -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Autophagy
GO Term: Negative Regulation Of High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of High Voltage-Gated Calcium Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Dna Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Autophagy, Apoptosis
GO Term: Negative Regulation Of Muscle Tissue Development -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Synapse
GO Term: Positive Regulation Of Post-Translational Protein Modification -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Regulation Of Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein Depolymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Structural Stabilization, Oxidative Stress
GO Term: Regulation Of Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cell Junction Assembly -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Vasculature
GO Term: Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Atpase-Coupled Calcium Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Apoptosis
GO Term: Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization
GO Term: Negative Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Relaxation Of Cardiac Muscle -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Diadenosine Pentaphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Diadenosine Hexaphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Apoptosis
GO Term: Adenosine 5'-(Hexahydrogen Pentaphosphate) Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Anterograde Dense Core Granule Transport -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Positive Regulation Of Mitotic Sister Chromatid Separation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Cell Cycle Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Phosphatidylinositol Phosphate Binding -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Protein Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Response To Ketamine -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization
GO Term: Positive Regulation Of Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Proteostasis
GO Term: Homogentisate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cilium Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: L-Histidine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Autophagy
GO Term: Regulation Of Nadp Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Hematopoietic Stem Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Positive Regulation Of Hematopoietic Stem Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To L-Glutamate -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Autophagy, APP Metabolism
GO Term: Regulation Of Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Sphingolipid Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Proteostasis, Vasculature, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hypoxia-Inducible Factor-1Alpha Signaling Pathway -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Apoptosis, Autophagy
GO Term: Response To Salt -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Cellular Response To Salt -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
