Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Long-Chain Fatty-Acyl-Coa Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Hyaluranon Cable -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Autophagy
GO Term: Response To Platelet-Derived Growth Factor -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Platelet-Derived Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Double-Stranded Dna Helicase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Bmp Binding -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Vasculature
GO Term: Sperm Flagellum -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Catsper Complex -> Biodomain: Metal Binding and Homeostasis, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Prostaglandin H2 Endoperoxidase Reductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostaglandin D2 11-Ketoreductase Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Proteostasis
GO Term: 12-Hydroxyheptadecatrienoic Acid Synthase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Schwann Cell Migration -> Biodomain: Myelination, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Peptidyl-Histidine Dioxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: [Protein]-Asparagine 3-Dioxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Kringle Domain Binding -> Biodomain: Vasculature, Lipid Metabolism, Structural Stabilization, Proteostasis, Immune Response
GO Term: Dendritic Cell Homeostasis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Response To Mycotoxin -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: Phosphatidylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phosphatidylinositol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Phosphatidylserine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidylcholine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Phosphatidylethanolamine Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Triglyceride Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Acylglycerol Acyl-Chain Remodeling -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Inner Dynein Arm -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Outer Dynein Arm -> Biodomain: Cytoskeleton, Motility, Cilia, Motor Proteins, Intracellular Transport
GO Term: Outer Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Inner Dynein Arm Assembly -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle
GO Term: Phenotypic Switching -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Vasculature, Immune Response
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Glutaredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Osteoclast Maturation -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome
GO Term: 13-Lipoxin Reductase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Vasculature, Apoptosis
GO Term: Early Phagosome Membrane -> Biodomain: Immune Response, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Muscle Cell Projection Membrane -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Protein Modification Process -> Biodomain: Proteostasis, Autophagy, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Contractile Ring Contraction -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Dttp Diphosphatase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Gtp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Apoptosis, Epigenetic, Oxidative Stress
GO Term: Itp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Utp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Xtp Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Protein Localization To Nuclear Inner Membrane -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Peroxisome Transport Along Microtubule -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Response To Methylamine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Multivesicular Body Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Multivesicular Body Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: 7-Methylguanosine Cap Hypermethylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle
GO Term: Rna (Guanine-N7)-Methylation -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Swimming -> Biodomain: Mitochondrial Metabolism, Synapse, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Swimming Behavior -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Tubulobulbar Complex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Apoptosis
GO Term: Saga Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Peptidyl-Serine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Autophagy, Epigenetic
GO Term: Cellular Response To Decreased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Increased Oxygen Levels -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Apoptosis
GO Term: Recombinational Interstrand Cross-Link Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Atrioventricular Canal Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Lymph Vessel Morphogenesis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Umbilical Cord Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Ameloblast Differentiation -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Embryonic Heart Tube Elongation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Protein Localization To M-Band -> Biodomain: Structural Stabilization, Proteostasis, Muscle System, Cellular Organization, Cytoskeleton
GO Term: Atp-Dependent Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Phosphatidylinositol 3-Kinase Regulatory Subunit Binding -> Biodomain: Signaling, Lipid Metabolism, Apoptosis, Autophagy, Immune Response
GO Term: Phosphatidylinositol 3-Kinase Catalytic Subunit Binding -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Cellular Response To Sterol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Srebp-Scap Complex Retention In Endoplasmic Reticulum -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Tyrosyl-Rna Phosphodiesterase Activity -> Biodomain: Proteostasis, RNA Spliceosome, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Ghrelin Secretion -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Vascular Endothelial Growth Factor Receptor-1 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor-2 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Vascular Endothelial Growth Factor Receptor-3 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Placental Growth Factor Receptor Activity -> Biodomain: Vasculature, Apoptosis, Cell Cycle, Proteostasis, Immune Response
GO Term: Hepatocyte Homeostasis -> Biodomain: Proteostasis, Autophagy, Apoptosis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Intestinal Stem Cell Homeostasis -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Dendritic Cell Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Fas Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Lymphocyte Adhesion To Endothelial Cell Of High Endothelial Venule -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Post-Anal Tail Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Psychomotor Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Myelination
GO Term: Platelet Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Platelet Maturation -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Renal Potassium Excretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism
GO Term: Light Adaption -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Cone Photoresponse Recovery -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy
GO Term: Protein Localization To T-Tubule -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Vasculature, Mitochondrial Metabolism
GO Term: Opsin Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: L-Fucose Mutarotase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Glutathione Hydrolase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Sodium Ion Export Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Vasculature, Oxidative Stress, Synapse
GO Term: Calcitriol Biosynthetic Process From Calciol -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Myofilament -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Cdp Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Cell Cycle
GO Term: Thiocyanate Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Rna N6-Methyladenosine Methyltransferase Complex -> Biodomain: RNA Spliceosome, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Tcr Signalosome -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Tcr Signalosome Assembly -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Proteasome-Activating Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Arachidonate 8(S)-Lipoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Histone H3K14 Acetyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Histone H3-K14 Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Trna Stabilization -> Biodomain: Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy, Proteostasis
GO Term: L-Phosphoserine Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Proteostasis
GO Term: Cmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, DNA Repair
GO Term: Dcmp Kinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Apoptosis
GO Term: K48-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Maintenance Of Lens Transparency -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Citrate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Neuronal Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Mitochondrial Metabolism, Autophagy
GO Term: Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Immune Response, Proteostasis
GO Term: Microtubule Minus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Synapse
GO Term: L-Methionine-(S)-S-Oxide Reductase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Keratohyalin Granule -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Hepatocyte Growth Factor Binding -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Bloc-2 Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Structural Stabilization
GO Term: Trail-Activated Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Oxidative Stress, Autophagy
GO Term: Trail Receptor Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cytoplasmic Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Synaptic Vesicle Recycling -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Synaptic Vesicle Recycling Via Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: 5-Hydroxy-L-Tryptophan Decarboxylase Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Immune Response
GO Term: L-Dopa Decarboxylase Activity -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Tyrosine 3-Monooxygenase Activator Activity -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Cellular Response To Glyoxal -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Somatodendritic Compartment -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: L-Dopa Decarboxylase Activator Activity -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Peroxidase Inhibitor Activity -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Oxidative Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Intrinsic Apoptotic Signaling Pathway In Response To Hydrogen Peroxide -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Neuron Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Trunk Neural Crest Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Cell Cycle
GO Term: Ventral Trunk Neural Crest Cell Migration -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Myelination
GO Term: Nitric-Oxide Synthase Inhibitor Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Apoptosis
GO Term: Chop-C/Ebp Complex -> Biodomain: Proteostasis, Apoptosis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Translation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Translation Initiation In Response To Endoplasmic Reticulum Stress -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Ire1-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Perk-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Atf6-Mediated Unfolded Protein Response -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Ufd1-Npl4 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Derlin-1-Vimp Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Erad Pathway -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Prosaposin Receptor Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Proteostasis
GO Term: Maintenance Of Unfolded Protein -> Biodomain: Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Protein Alpha-1,2-Demannosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Derlin-1 Retrotranslocation Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Dopaminergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Serotonergic Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Chemoattraction Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Chemoattraction Of Serotonergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Chemorepulsion Of Dopaminergic Neuron Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Astrocyte-Dopaminergic Neuron Signaling -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Protein Deglycase Activity -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Deglycation -> Biodomain: Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Paracrine Signaling -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Apoptosis
GO Term: G Protein-Coupled Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Epidermal Growth Factor Receptor Ligand Maturation -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Netrin-Activated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Regulation Of Signal Transduction By Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Immune Response, Synapse, Autophagy
GO Term: Insulin Receptor Internalization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Wnt Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, APP Metabolism
GO Term: Insulin Receptor Recycling -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Leptin Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: G Protein-Coupled Olfactory Receptor Activity -> Biodomain: Synapse, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Signaling Receptor Activity -> Biodomain: Immune Response, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Cargo Receptor Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Reelin Receptor Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Lipid Metabolism, Epigenetic
GO Term: Reelin-Mediated Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis By Vegf-Activated Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Ligand-Independent Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Sphingosine-1-Phosphate Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Autophagy, Apoptosis
GO Term: G Protein-Coupled Receptor Dimeric Complex -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Immune Response, Vasculature
GO Term: G Protein-Coupled Receptor Homodimeric Complex -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism
GO Term: G Protein-Coupled Receptor Heterodimeric Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Immune Response, Vasculature
GO Term: Cross-Receptor Inhibition Within G Protein-Coupled Receptor Heterodimer -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Synapse, Vasculature
GO Term: Interleukin-5-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: G Protein-Coupled Enkephalin Receptor Activity -> Biodomain: Signal Transduction, Neurotransmission, Signaling, Neurological Disorders, Neurodegeneration
GO Term: Morphine Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Dynorphin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Estrogen Receptor Activity -> Biodomain: Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Nitric Oxide-Cgmp-Mediated Signaling -> Biodomain: Oxidative Stress, Vasculature, Mitochondrial Metabolism, Synapse, Proteostasis
GO Term: Non-Canonical Nf-Kappab Signal Transduction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Tyrosine Kinase Collagen Receptor Activity -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Endolysosome, Immune Response
GO Term: Collagen-Activated Tyrosine Kinase Receptor Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Proteostasis
GO Term: Collagen Receptor Activity -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Autophagy
GO Term: Collagen-Activated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Immune Response, Cell Cycle
GO Term: P38Mapk Cascade -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Peptidyl-Tyrosine Autophosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Mitochondrial Metabolism
GO Term: Vascular Endothelial Growth Factor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Vascular Endothelial Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Lipid Metabolism
