Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Aspartate Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Proteostasis, Vasculature, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Proteostasis, Vasculature, Oxidative Stress, Structural Stabilization, Immune Response
GO Term: Positive Regulation Of Matrix Metallopeptidase Secretion -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Endothelin Production -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Regulation Of Intestinal Absorption -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Vasculature, Endolysosome
GO Term: Negative Regulation Of Intestinal Absorption -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Cellular Response To Tetrahydrofolate -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Cell Cycle, Metal Binding and Homeostasis
GO Term: Protein Localization To Ciliary Transition Zone -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Unknown
GO Term: Ac-Asp-Glu Binding -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Epigenetic, Autophagy, Unknown
GO Term: Tetrahydrofolyl-Poly(Glutamate) Polymer Binding -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Lipophagy -> Biodomain: Autophagy,Lipid Metabolism,Proteostasis,Mitochondrial Metabolism,Oxidative Stress
GO Term: Negative Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Telomere Maintenance In Response To Dna Damage -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Protein Localization To Basolateral Plasma Membrane -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Torc2 Signaling -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Protein Localization To Cytoplasmic Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Regulation Of Myofibroblast Cell Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Telomeric Loop Disassembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Glycolytic Process Through Fructose-6-Phosphate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Free Ubiquitin Chain Polymerization -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Response To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Apoptosis, Vasculature
GO Term: Cellular Response To Arachidonate -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: L-Tryptophan Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Immune Response, Endolysosome, Autophagy
GO Term: L-Alanine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol 5-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Cellular Response To 1-Oleoyl-Sn-Glycerol 3-Phosphate -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Response To Wortmannin -> Biodomain: Autophagy, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Cellular Response To Wortmannin -> Biodomain: Autophagy, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Selenocysteine Incorporation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Intracellular Mrna Localization -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Intracellular Mrna Localization -> Biodomain: Proteostasis, Synapse, Cell Cycle, Autophagy, Epigenetic
GO Term: Response To Polyamine Macromolecule -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Putrescine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Glycoprotein -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein Import -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Protein Import -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Connective Tissue Replacement Involved In Inflammatory Response Wound Healing -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Serotonin-Activated Cation-Selective Channel Complex -> Biodomain: Synapse, Proteostasis, Metal Binding and Homeostasis, Vasculature, Structural Stabilization
GO Term: Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To 2,3,7,8-Tetrachlorodibenzodioxine -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Endolysosome
GO Term: Response To Biphenyl -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Immune Response, Apoptosis
GO Term: Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Cellular Response To Phorbol 13-Acetate 12-Myristate -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Oxidative Stress, Proteostasis
GO Term: Response To Glucoside -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Podocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Oxidative Stress, Immune Response, Proteostasis
GO Term: Cellular Response To Ionomycin -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Response To Resveratrol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Resveratrol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Methionine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Response To Curcumin -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response, Apoptosis
GO Term: Cellular Response To Curcumin -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Response To Amyloid-Beta -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Synapse, Immune Response
GO Term: Cellular Response To Amyloid-Beta -> Biodomain: APP Metabolism, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Fat Cell Apoptotic Process -> Biodomain: Apoptosis, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: D-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Ubiquitin Protein Ligase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Atp Export -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Proteostasis, Endolysosome
GO Term: Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Somatic Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, DNA Repair, Immune Response
GO Term: Positive Regulation Of Somatic Stem Cell Division -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Autophagy, Mitochondrial Metabolism
GO Term: Alpha-Aminoacyl-Trna Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Unknown, Unknown
GO Term: Myo-Inositol Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Peptide Transmembrane Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Response To 3-Methylcholanthrene -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Metalloendopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Cytoplasmic Translational Initiation -> Biodomain: Proteostasis, Epigenetic, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Unknown
GO Term: Positive Regulation Of Type B Pancreatic Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Midbrain Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Lipid Metabolism, Epigenetic, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Contraction -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Proteostasis
GO Term: Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Vasculature, Immune Response
GO Term: Positive Regulation Of Acinar Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Unknown
GO Term: Positive Regulation Of Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Synapse, Cell Cycle
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Oxidative Stress, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Regulation Of Granulosa Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Beta-Catenin Destruction Complex Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization, Unknown
GO Term: Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Chaperone-Mediated Autophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Ampa Glutamate Receptor Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Wnt-Frizzled-Lrp5/6 Complex Assembly -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Tertiary Granule Lumen -> Biodomain: Immune Response, Proteostasis, Endolysosome, Metal Binding and Homeostasis, Apoptosis
GO Term: Positive Regulation Of Replicative Senescence -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress, Epigenetic
GO Term: Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Fatty Acid Beta-Oxidation Using Acyl-Coa Dehydrogenase -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Apoptotic Process Involved In Development -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome
GO Term: Positive Regulation Of Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Structural Stabilization, Apoptosis
GO Term: Regulation Of Myofibroblast Differentiation -> Biodomain: Structural Stabilization, Apoptosis, Vasculature, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Myofibroblast Differentiation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Myofibroblast Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Epigenetic, Lipid Metabolism
GO Term: Chaperone-Mediated Autophagy Translocation Complex Disassembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: All-Trans-Retinol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Response To Tetrachloromethane -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Ubiquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Endolysosome
GO Term: Negative Regulation Of Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Endolysosome, Synapse
GO Term: Positive Regulation Of Protein Localization To Cell Cortex -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Vasculature, Synapse
GO Term: Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Nlrp1 Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Negative Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Shelterin Complex Assembly -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Positive Regulation Of Core Promoter Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Neuron Remodeling -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Translation Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle, Apoptosis
GO Term: Rrna Acetylation Involved In Maturation Of Ssu-Rrna -> Biodomain: Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis
GO Term: Ficolin-1-Rich Granule Lumen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Protein Localization To Chromosome, Telomeric Region -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Purine Nucleobase Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Protein Localization To Microtubule Plus-End -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Hydrogen Sulfide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Aortic Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Dorsal Root Ganglion Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Immune Response
GO Term: Beta-Catenin-Tcf Complex Assembly -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Torc2 Complex Binding -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Response To Nitroglycerin -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Cellular Response To Nitroglycerin -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Vasculature, Proteostasis, Immune Response
GO Term: Cellular Response To L-Glutamine -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Immune Response, Vasculature, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Establishment Of Protein Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Proteasome Core Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Regulatory Particle Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Cell Cycle
GO Term: Cytolytic Granule Lumen -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Dna Synthesis Involved In Mitotic Dna Replication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Unknown, Apoptosis
GO Term: Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Inhibitory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Beta-Catenin-Tcf Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, Unknown
GO Term: Protein Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Localization To Cajal Body -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair, Unknown
GO Term: Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Telomerase Rna Localization To Cajal Body -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization
GO Term: Response To Hydrogen Sulfide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Hydrogen Sulfide -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Telomerase Catalytic Core Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Beta-Catenin Destruction Complex Assembly -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Beta-Catenin Destruction Complex Disassembly -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Wnt Signalosome Assembly -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Cranial Skeletal System Development -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Negative Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Positive Regulation Of Excitatory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Receptor Signaling Pathway Via Stat -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Escrt Complex Disassembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Apoptosis
GO Term: Positive Regulation Of Hepatic Stellate Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Oxidative Stress
GO Term: Escrt Iii Complex Assembly -> Biodomain: Endolysosome, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Escrt Iii Complex Disassembly -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Endothelial Cell-Matrix Adhesion Via Fibronectin -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Unknown
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Telomeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Establishment Of Rna Localization To Telomere -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, RNA Spliceosome, Unknown
GO Term: Negative Regulation Of Establishment Of Protein-Containing Complex Localization To Telomere -> Biodomain: DNA Repair, Proteostasis, Cell Cycle, Apoptosis, Epigenetic
GO Term: Amphisome Membrane -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Apoptosis
GO Term: Mcm Complex Binding -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Apoptosis, Synapse, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation In Midbrain -> Biodomain: Cell Cycle, Autophagy, DNA Repair, Epigenetic, APP Metabolism
GO Term: Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Atpase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Tau Homeostasis
