Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of T-Helper 17 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of T-Helper 17 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Negative Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Nuclear Receptor-Mediated Glucocorticoid Signaling Pathway -> Biodomain: Epigenetic, Immune Response, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of T-Helper 17 Cell Lineage Commitment -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Terminal Button Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Blood Microparticle Formation -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production -> Biodomain: Immune Response, Inflammation, Cytokine Signaling, Cell Migration, Signal Transduction
GO Term: Positive Regulation Of Acrosome Reaction -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Lipid Metabolism, Autophagy, DNA Repair
GO Term: Negative Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Hepatocyte Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Vasculature, Autophagy
GO Term: Positive Regulation Of Cd40 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Endothelial Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Kidney Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Binding Of Sperm To Zona Pellucida -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Apoptosis, Autophagy
GO Term: Positive Regulation Of Acrosomal Vesicle Exocytosis -> Biodomain: Proteostasis, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Clathrin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Dna Topoisomerase (Atp-Hydrolyzing) Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Oxygen Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxygen Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Reactive Oxygen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Mesoderm Development -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mesoderm Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Negative Regulation Of Ectoderm Development -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Apoptosis, Myelination
GO Term: Positive Regulation Of Ovarian Follicle Development -> Biodomain: Cell Cycle, Lipid Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Antral Ovarian Follicle Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Vasculature, Epigenetic, Proteostasis
GO Term: Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Inflammation, Cell Adhesion, Signal Transduction
GO Term: Positive Regulation Of Neutrophil Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Lipid Metabolism
GO Term: Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Lamellipodium Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Vasculature, Apoptosis
GO Term: Positive Regulation Of Ubiquitin-Dependent Endocytosis -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Immune Response
GO Term: Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lymphocyte Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Proteostasis
GO Term: Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Positive Regulation Of T Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Fibronectin-Dependent Thymocyte Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Vasculature, Apoptosis
GO Term: Positive Regulation Of Eosinophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Eosinophil Extravasation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Eosinophil Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Apoptotic Cell Clearance -> Biodomain: Apoptosis, Immune Response, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Cytokinesis, Actomyosin Contractile Ring Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, Cell Cycle
GO Term: Negative Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Protein Neddylation -> Biodomain: Proteostasis, Autophagy, APP Metabolism, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Monocyte Extravasation -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Macrophage Migration Inhibitory Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta Cytotoxic T Cell Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Synapse, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Astrocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Glycosylation, Metabolism, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Negative Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Glycogen (Starch) Synthase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Hematopoietic Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Opioid Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Metanephric Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Synapse
GO Term: Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Glutamine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Negative Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Interleukin-18-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Immune Response
GO Term: Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Granzyme A Production -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Endolysosome, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Endolysosome, Cell Cycle, Apoptosis, Proteostasis
GO Term: Negative Regulation Of T-Helper 1 Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of T Cell Costimulation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Glycoprotein Biosynthetic Process Involved In Immunological Synapse Formation -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Myeloid Dendritic Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Renal Albumin Absorption -> Biodomain: Vasculature, Proteostasis, Endolysosome, Lipid Metabolism, Immune Response
GO Term: Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Negative Regulation Of Entry Of Bacterium Into Host Cell -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of B Cell Chemotaxis -> Biodomain: Immune Response, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Protein Geranylgeranylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Gastrulation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Apoptosis
GO Term: Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Synapse, Endolysosome
GO Term: Negative Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Autophagy, Endolysosome
GO Term: Positive Regulation Of Dendritic Cell Dendrite Assembly -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Synapse, Proteostasis
GO Term: Negative Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T-Helper 2 Cell Cytokine Production -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of T-Helper 1 Cell Cytokine Production -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Immunoglobulin Production In Mucosal Tissue -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Positive Regulation Of Memory T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of T-Helper 2 Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Interleukin-4-Dependent Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Dna Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Autophagy
GO Term: Negative Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Immune Response, Proteostasis
GO Term: Positive Regulation Of Metanephric Dct Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Optic Nerve Formation -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Vasculature, Synapse
GO Term: Positive Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Cell Proliferation Involved In Mesonephros Development -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization, Vasculature
GO Term: Regulation Of Thyroid Hormone Generation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Thyroid Hormone Generation -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Thyroid-Stimulating Hormone Secretion -> Biodomain: Synapse, Proteostasis, Epigenetic, Endolysosome, Vasculature
GO Term: Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy
GO Term: Negative Regulation Of Nuclear-Transcribed Mrna Catabolic Process, Nonsense-Mediated Decay -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Mirna Catabolic Process -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Mirna Catabolic Process -> Biodomain: RNA Spliceosome, Endolysosome, Autophagy, Epigenetic, Proteostasis
GO Term: Regulation Of Mirna Metabolic Process -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Mirna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Pre-Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Pre-Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Primary Mirna Processing -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Primary Mirna Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mirna-Mediated Gene Silencing -> Biodomain: Epigenetic, Proteostasis, RNA Spliceosome, Autophagy, DNA Repair
GO Term: Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Srebp Signaling Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Receptor Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Negative Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transporter Activity -> Biodomain: Vasculature, Synapse, Myelination, Metal Binding and Homeostasis, Cell Cycle
GO Term: Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Cellular Response To Testosterone Stimulus -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
