Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Nucleobase-Containing Compound Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Nucleoside Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Kinase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, DNA Repair
GO Term: Phosphatase Regulator Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Epigenetic
GO Term: Kinase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Autophagy
GO Term: Kinase Inhibitor Activity -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: Phosphatase Activator Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, Oxidative Stress
GO Term: Phosphatase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Deacetylase Activity -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Intermediate Filament Binding -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Cell Cycle
GO Term: Regulation Of Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Steroid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Regulation Of Nucleobase-Containing Compound Metabolic Process -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cytokine-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Regulation Of Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Proteostasis
GO Term: Neuronal Action Potential Propagation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Neuronal Action Potential -> Biodomain: Synapse, Myelination, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Vasoconstriction -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Proprioception -> Biodomain: Synapse, Myelination, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: Sensory Perception Of Pain -> Biodomain: Synapse, Immune Response, Myelination, Vasculature, Oxidative Stress
GO Term: Response To Pheromone -> Biodomain: Synapse, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Centromeric Dna Binding -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Deaminase Activity -> Biodomain: Proteostasis, Apoptosis, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Citrulline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Vasculature, Metal Binding and Homeostasis
GO Term: Methylglyoxal Biosynthetic Process -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Methylglyoxal Catabolic Process To D-Lactate Via S-Lactoyl-Glutathione -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Lactate Biosynthetic Process From Pyruvate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Lactate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Carnitine Metabolic Process, Coa-Linked -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Glucose 1-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: N-Acetylneuraminate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Glycine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Autophagy
GO Term: Glycine Biosynthetic Process, By Transamination Of Glyoxylate -> Biodomain: Amino Acid Metabolism, Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Udp-N-Acetylgalactosamine Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Glycine Betaine Biosynthetic Process From Choline -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Isopentenyl Diphosphate Biosynthetic Process, Mevalonate Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Siderophore Biosynthetic Process -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tyrosine Biosynthetic Process, By Oxidation Of Phenylalanine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: D-Ribose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Inositol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Hexose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hexose Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pentose Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Pentose Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dibenzo-P-Dioxin Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Cysteine Biosynthetic Process Via Cystathionine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Cysteine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Transsulfuration -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Vasculature, Metal Binding and Homeostasis
GO Term: Dolichol Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Pyridine Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Elongation, Saturated Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Arachidonate Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Leukotriene Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Vasculature, Apoptosis
GO Term: Cyclooxygenase Pathway -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Lipoxygenase Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Apoptosis, Vasculature
GO Term: Epoxygenase P450 Pathway -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Galactolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Oxidative Stress
GO Term: Glycolipid Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fatty Acid Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Galactitol Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Dolichol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Acetate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Cell Cycle, Autophagy
GO Term: Sulfur Oxidation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Acetyl-Coa Biosynthetic Process From Acetate -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Removal Of Superoxide Radicals -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Triglyceride Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Triglyceride Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: L-Tryptophan Catabolic Process To Indole-3-Acetate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: L-Tryptophan Catabolic Process To Kynurenine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis, Synapse
GO Term: L-Tryptophan Catabolic Process To Acetyl-Coa -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Cysteine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Cysteine Catabolic Process To Hypotaurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Cysteine Catabolic Process To Taurine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Glycine Decarboxylation Via Glycine Cleavage System -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Processes, Catabolic Processes, One-Carbon Metabolism
GO Term: Trans-4-Hydroxy-L-Proline Catabolic Process -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: D-Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Alanine Catabolic Process, By Transamination -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Beta-Alanine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Beta-Alanine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Methionine Salvage From Methylthioadenosine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Peptidyl-Proline Hydroxylation -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Threonine Catabolic Process To Glycine -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Proteostasis, Lipid Metabolism
GO Term: Pentitol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D-Gluconate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Taurine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Oxalate Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Oxalate Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Endolysosome, Lipid Metabolism
GO Term: Toxin Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Protein Metabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Lipid Metabolism
GO Term: Propionate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Propionate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: L-Arginine Catabolic Process To L-Glutamate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: L-Glutamate Catabolic Process To Aspartate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: L-Glutamate Catabolic Process Via 2-Hydroxyglutarate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Histidine Catabolic Process To Glutamate And Formamide -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Synapse
GO Term: L-Histidine Catabolic Process To Glutamate And Formate -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Glycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Butyrate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: 2-Oxobutyrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Short-Chain Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Urea Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism
GO Term: Urate Catabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Metal Binding and Homeostasis
GO Term: Organophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: D-Glucuronate Catabolic Process To D-Xylulose 5-Phosphate -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Aerobic Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glucose Catabolic Process To Lactate Via Pyruvate -> Biodomain: Mitochondrial Metabolism, Immune Response, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Gdp-Mannose Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Nad+ Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Nad+ Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Propionate Metabolic Process, Methylmalonyl Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glyceraldehyde-3-Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Ribose Phosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, DNA Repair, Epigenetic, Cell Cycle
GO Term: Choline Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Synapse, Endolysosome, Proteostasis
GO Term: Protein-Cysteine S-Myristoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Protein-Cysteine S-Palmitoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Calcium-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: B Cell Mediated Immunity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Cellular Homeostasis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Antimicrobial Humoral Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Antibacterial Humoral Response -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Antifungal Humoral Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Nitrogen Utilization -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Pentacyclic Triterpenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Regulation Of Isoprenoid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Secondary Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carboxylic Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: One-Carbon Compound Transport -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, DNA Repair, Metal Binding and Homeostasis
GO Term: Immunoglobulin Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Iga Receptor Activity -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: High-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Low-Affinity Ige Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Vasculature, Proteostasis
GO Term: High-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Low-Affinity Igg Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Oxidative Stress
GO Term: Proteasome Core Complex, Alpha-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Proteasome Core Complex, Beta-Subunit Complex -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Atg8-Family Ligase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Atg12 Transferase Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Atg12 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Atg8 Activating Enzyme Activity -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Fat10 Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin/Proteasome System, Apoptosis, Immune Response
GO Term: Nedd8 Activating Enzyme Activity -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Epigenetic
GO Term: Isg15 Activating Enzyme Activity -> Biodomain: Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Ubiquitin-Like Protein Peptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, DNA Repair
GO Term: Deneddylase Activity -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Immune Response
GO Term: Isg15-Specific Peptidase Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Protein-Phosphatidylethanolamide Deconjugating Activity -> Biodomain: Autophagy, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Ubiquitin-Like Protein Transferase Activity -> Biodomain: Proteostasis, Autophagy, Ubiquitin-Proteasome System, Apoptosis, Protein Homeostasis
GO Term: Nedd8 Transferase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, DNA Repair
GO Term: Sumo Transferase Activity -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Cell Cycle, Apoptosis
GO Term: Procollagen-Proline 3-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Vasculature, Apoptosis
GO Term: Tubulin N-Acetyltransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Aspartoacylase Activity -> Biodomain: Lipid Metabolism, Myelination, Proteostasis, Synapse, Endolysosome
GO Term: Polyamine Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis
GO Term: Spermidine Binding -> Biodomain: Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Putrescine Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Cocaine Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Endolysosome, Synapse
GO Term: Oxygen Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Oxygen Sensor Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Aspartic-Type Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Atpase-Coupled Monoatomic Cation Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Mitochondrial Metabolism, Autophagy
GO Term: Phospholipase A2 Inhibitor Activity -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cytolysis -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Lipid Metabolism, Structural Stabilization
GO Term: Growth Factor Binding -> Biodomain: Cell Cycle, Vasculature, Synapse, Immune Response, Epigenetic
GO Term: Isoprenoid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Retinol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Vitamin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Rrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: L-Ascorbic Acid Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization, Metal Binding and Homeostasis, Epigenetic
GO Term: Calcium Channel Inhibitor Activity -> Biodomain: Vasculature, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Pyrimidine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Cytosine Metabolic Process -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Thymine Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Proteostasis
GO Term: Iga Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Ige Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Igg Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Immunoglobulin Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Organelle Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Outer Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Chloride Channel Inhibitor Activity -> Biodomain: Synapse, Endolysosome, Vasculature, Autophagy, Oxidative Stress
GO Term: Potassium Channel Inhibitor Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Sodium Channel Inhibitor Activity -> Biodomain: Synapse, Myelination, Proteostasis, Oxidative Stress, Vasculature
GO Term: Antigen Processing And Presentation -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Antigen Processing And Presentation Of Endogenous Antigen -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Antigen Processing And Presentation Of Exogenous Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
