Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Cobalt Ion -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: Cellular Response To Copper Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Iron Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Iron(Iii) Ion -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Lead Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Cellular Response To Lithium Ion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Magnesium Ion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Manganese Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Mercury Ion -> Biodomain: Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Cellular Response To Zinc Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Lipid Metabolism, Proteostasis
GO Term: Cellular Response To L-Ascorbic Acid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, DNA Repair
GO Term: Cellular Response To Retinoic Acid -> Biodomain: Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Cellular Response To Vitamin B1 -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Vitamin D -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Cellular Response To Vitamin E -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Vitamin K -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Cellular Response To Alkaloid -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism, Immune Response
GO Term: Cellular Response To Caffeine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Apoptosis, Proteostasis
GO Term: Cellular Response To Morphine -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cellular Response To Nicotine -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To Atp -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Camp -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Cgmp -> Biodomain: Vasculature, Synapse, Oxidative Stress, Epigenetic, Immune Response
GO Term: Cellular Response To Carbohydrate Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Epigenetic, Proteostasis
GO Term: Cellular Response To Sucrose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Fructose Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Glucose Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Hair Follicle Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Mll1 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Skeletal Muscle Acetylcholine-Gated Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cellular Response To Cytokine Stimulus -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Type Ii Interferon -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Cellular Response To Interleukin-1 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Cellular Response To Interleukin-11 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-12 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Interleukin-18 -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Interleukin-4 -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Cellular Response To Interleukin-6 -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Tumor Necrosis Factor -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Type I Interferon -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Cellular Response To Dsrna -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Exogenous Dsrna -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Ethanol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cellular Response To Ether -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cellular Response To Growth Factor Stimulus -> Biodomain: Cell Cycle, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Epidermal Growth Factor Stimulus -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Cellular Response To Gonadotropin Stimulus -> Biodomain: Cell Communication, Reproductive System, Signal Transduction, Endocrine Processes, Cell Growth/Proliferation
GO Term: Cellular Response To Follicle-Stimulating Hormone Stimulus -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Cellular Response To Luteinizing Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Apoptosis, Epigenetic
GO Term: Cellular Response To Parathyroid Hormone Stimulus -> Biodomain: Metal Binding and Homeostasis, Signal Transduction, Transcriptional Regulation, Tissue Homeostasis, Mineral Homeostasis
GO Term: Cellular Response To Peptide Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Cellular Response To Corticotropin-Releasing Hormone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Autophagy, Synapse
GO Term: Cellular Response To Glucagon Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Growth Hormone Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy
GO Term: Cellular Response To Prostaglandin Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Cell Cycle, Apoptosis
GO Term: Cellular Response To Prostaglandin E Stimulus -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Steroid Hormone Stimulus -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Corticosteroid Stimulus -> Biodomain: Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Glucocorticoid Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Immune Response
GO Term: Cellular Response To Corticosterone Stimulus -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Cellular Response To Cortisol Stimulus -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Cellular Response To Mineralocorticoid Stimulus -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response
GO Term: Cellular Response To Estrogen Stimulus -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle, Autophagy
GO Term: Cellular Response To Estradiol Stimulus -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Cellular Response To Progesterone Stimulus -> Biodomain: Immune Response, Cell Cycle, Lipid Metabolism, Apoptosis, Epigenetic
GO Term: Cellular Response To Testosterone Stimulus -> Biodomain: Endocrine, Signal Transduction, Gene Expression Regulation, Cell Growth and Proliferation, Metabolism Regulation
GO Term: Cellular Response To Jasmonic Acid Stimulus -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Cellular Response To Lipid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Cholesterol -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Cellular Response To Fatty Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cellular Response To Oleic Acid -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Cellular Response To Triglyceride -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress, Immune Response
GO Term: Cellular Response To High Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Immune Response, Endolysosome
GO Term: Cellular Response To Low-Density Lipoprotein Particle Stimulus -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Cellular Response To Cycloheximide -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Cellular Response To Genistein -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis, DNA Repair
GO Term: Cellular Response To Purine-Containing Compound -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Cellular Response To Amine Stimulus -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Cellular Response To Histamine -> Biodomain: Immune Response, Vasculature, Synapse, Endolysosome, Proteostasis
GO Term: Manganese Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Succinate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Malate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Rrna (Cytosine-N4-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, RNA Spliceosome
GO Term: Hematopoietic Stem Cell Proliferation -> Biodomain: Cell Cycle, Immune Response, Vasculature, Apoptosis, Structural Stabilization
GO Term: Clathrin Complex -> Biodomain: Endolysosome, Proteostasis, Synapse, Structural Stabilization, Autophagy
GO Term: Cellular Response To Pheromone -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Cell Cycle
GO Term: Cellular Response To Hydroperoxide -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Lipid Hydroperoxide -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Superoxide -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Oxygen Levels -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: Cellular Response To Anoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Hyperoxia -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Hypoxia -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Protein Localization To Chromosome, Centromeric Region -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Cellular Response To Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Response To Redox State -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Hydrostatic Pressure -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Apoptosis, Autophagy
GO Term: Cellular Response To Xenobiotic Stimulus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Cellular Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Acidic Ph -> Biodomain: Oxidative Stress, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Cellular Response To Alkaline Ph -> Biodomain: Endolysosome, Autophagy, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Cellular Response To Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Cellular Response To Non-Ionic Osmotic Stress -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Cellular Response To Salt Stress -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Hyperosmotic Response -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Hyperosmotic Salinity Response -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Cellular Hypotonic Response -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Cellular Hypotonic Salinity Response -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Cellular Response To Radiation -> Biodomain: DNA Repair, Oxidative Stress, Autophagy, Proteostasis, Apoptosis
GO Term: Cellular Response To Ionizing Radiation -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Cellular Response To Gamma Radiation -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Cellular Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Light Stimulus -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Immune Response, Epigenetic
GO Term: Cellular Response To High Light Intensity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Uv-A -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Cellular Response To Uv-B -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Cellular Response To Uv-C -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Cellular Response To Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Cellular Response To Laminar Fluid Shear Stress -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Immune Response, Lipid Metabolism
GO Term: Cellular Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Sterol Depletion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Temperature Stimulus -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Response To Heparin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Cellular Response To Heparin -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Cellular Response To Mycophenolic Acid -> Biodomain: Immune Response, Cell Cycle, Apoptosis, DNA Repair, Oxidative Stress
GO Term: Phosphopantothenoylcysteine Decarboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Genomic Imprinting -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Proteostasis, Apoptosis
GO Term: Semaphorin-Plexin Signaling Pathway -> Biodomain: Synapse, Structural Stabilization, Immune Response, Vasculature, Proteostasis
GO Term: Trna Re-Export From Nucleus -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Cementum Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Ankyrin Repeat Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Metal Binding and Homeostasis
GO Term: Ring-Like Zinc Finger Domain Binding -> Biodomain: Metal Binding and Homeostasis, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Protein Localization To Centrosome -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3E -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome
GO Term: Eukaryotic Translation Initiation Factor 3 Complex, Eif3M -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Epigenetic
GO Term: Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Diphosphoinositol Polyphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Diphosphoinositol Polyphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Inositol Phosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Pi-Body -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Epigenetic, RNA Spliceosome
GO Term: Pip-Body -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Endolysosome
GO Term: Response To Dexamethasone -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Response To Dexamethasone Stimulus -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Death-Inducing Signaling Complex Assembly -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Histone H3K27Me2/H3K27Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Cell Cycle
GO Term: Response To Transforming Growth Factor Beta -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Cellular Response To Transforming Growth Factor Beta Stimulus -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Nucleus-Vacuole Junction -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Npbaf Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization, Synapse
GO Term: Nbaf Complex -> Biodomain: Epigenetic, Synapse, Structural Stabilization, Proteostasis, Autophagy
GO Term: Ufm1 Activating Enzyme Activity -> Biodomain: Proteostasis, Ubiquitin Pathway, Endolysosome, Autophagy, Apoptosis
GO Term: Deufmylase Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Ufm1 Transferase Activity -> Biodomain: Proteostasis, Ubiquitin-Proteasome System, Autophagy, Endolysosome, Apoptosis
GO Term: Protein Ufmylation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Ubiquitin Proteasome, Endolysosome
GO Term: Zinc Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Zinc Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Regulation Of Zinc Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Zinc Ion Transmembrane Import -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Endolysosome, Apoptosis
GO Term: Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Caax-Box Protein Processing -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome
GO Term: Lymphocyte Aggregation -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Apoptosis, Endolysosome
GO Term: Nem1-Spo7 Phosphatase Complex -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The N-End Rule Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Neuronal Ribonucleoprotein Granule -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Autophagy, Structural Stabilization
GO Term: Otic Vesicle Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Otic Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Apoptosis
GO Term: Phytosphingosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Autophagy
GO Term: Endothelial Cell-Cell Adhesion -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Vasculature
GO Term: Linoleic Acid Epoxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Lysophospholipid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Lysophosphatidylethanolamine Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Granulocyte Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Structural Stabilization, Vasculature, Apoptosis
GO Term: Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Granulocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Vocalization Behavior -> Biodomain: Synapse, Myelination, Vasculature, Structural Stabilization, Mitochondrial Metabolism
GO Term: Mastication -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Mitochondrial Metabolism
GO Term: Cytoplasm Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Nuclear Protein Quality Control By The Ubiquitin-Proteasome System -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Transforming Growth Factor Beta Production -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Negative Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Inflammation, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Monocyte Chemotactic Protein-1 Production -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Epigenetic, Proteostasis
GO Term: Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Positive Regulation Of Macrophage Inflammatory Protein 1 Alpha Production -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Vasculature, Endolysosome
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 4 Production -> Biodomain: Immune Response, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 5 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Chemokine (C-C Motif) Ligand 1 Production -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Granulocyte Colony-Stimulating Factor Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Ip-10 Production -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
