Once upon a time in a glittering forest, a curious unicorn named Luna discovered a hidden glade filled with glowing flowers. Each night, the flowers whispered secrets of joy and laughter, making Luna's heart sparkle with happiness. With a gentle flick of her tail, she spread the magic of the glade across the land, bringing sweet dreams to all who slept under the stars.
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Protein Complex Involved In Cell-Cell Adhesion -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization

Pathway: Protein Complex Involved In Cell Adhesion -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis

Pathway: Protein Complex Involved In Cell-Matrix Adhesion -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization

Pathway: Collagen Binding Involved In Cell-Matrix Adhesion -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Integrin Binding Involved In Cell-Matrix Adhesion -> Biodomain: Cell Cycle, Proteostasis, Immune Response, Structural Stabilization, Apoptosis

Pathway: Cadherin Binding Involved In Cell-Cell Adhesion -> Biodomain: Cell Cycle, Proteostasis, Synapse, Immune Response, Structural Stabilization

Pathway: Cenp-A Recruiting Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Mitochondrial Metabolism

Pathway: Monoatomic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Monoatomic Anion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Endolysosome

Pathway: Import Into Cell -> Biodomain: Endolysosome, Immune Response, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Inorganic Anion Import Across Plasma Membrane -> Biodomain: Vasculature, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, Immune Response

Pathway: Inorganic Cation Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Immune Response, Structural Stabilization

Pathway: Inorganic Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Immune Response

Pathway: Inorganic Anion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Lipid Metabolism, Immune Response

Pathway: Inorganic Cation Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: G Protein-Coupled Serotonin Receptor Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse

Pathway: G Protein-Coupled Serotonin Receptor Complex -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Entry Receptor-Mediated Virion Attachment To Host Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Structural Stabilization

Pathway: Extrinsic Component Of Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome

Pathway: Template-Free Rna Nucleotidyltransferase -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: Cochlear Hair Cell Ribbon Synapse -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Photoreceptor Ribbon Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Schaffer Collateral - Ca1 Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: Chromosomal Region -> Biodomain: Structural Stabilization, DNA Repair, Cell Cycle, Epigenetic, Immune Response

Pathway: Parallel Fiber To Purkinje Cell Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Glycinergic Synapse -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Dopaminergic Synapse -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Regulation Of Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response

Pathway: Regulation Of Synaptic Vesicle Budding From Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Immune Response

Pathway: Inositol 1,4,5-Trisphosphate Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Postsynaptic Specialization Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Structural Constituent Of Presynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy

Pathway: Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: Calcium Ion Import Across Plasma Membrane -> Biodomain: Calcium Ion Import Across Plasma Membrane, Oxidative Stress, Immune Response, Apoptosis, Proteostasis

Pathway: Copper Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism

Pathway: D-Glucose Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy

Pathway: Iron Ion Import Across Plasma Membrane -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: L-Glutamate Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Serine Import Across Plasma Membrane -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy

Pathway: Sodium Ion Import Across Plasma Membrane -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle

Pathway: Skeletal Muscle Myofibril -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Apoptosis, Myelination

Pathway: Symmetric Cell Division -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Mitochondrial Metabolism

Pathway: Maintenance Of Cell Number -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Autophagy

Pathway: Macromolecule Deacylation -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress, DNA Repair

Pathway: Macromolecule Depalmitoylation -> Biodomain: Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress, Structural Stabilization

Pathway: Positive Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Negative Regulation Of The Force Of Heart Contraction -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Protein Insertion Into Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Apoptosis, Immune Response

Pathway: Import Across Plasma Membrane -> Biodomain: Vasculature, Immune Response, Autophagy, Lipid Metabolism, Structural Stabilization

Pathway: Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Apoptosis, Cell Cycle

Pathway: Cell Aggregation -> Biodomain: Immune Response, Structural Stabilization, Cell Cycle, Apoptosis, Mitochondrial Metabolism

Pathway: Fast, Calcium Ion-Dependent Exocytosis Of Neurotransmitter -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Cerebellar Neuron Development -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Cell Cycle

Pathway: Cellular Response To Interleukin-8 -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome

Pathway: Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Cellular Response To Interleukin-7 -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Endolysosome

Pathway: Fbxo Family Protein Binding -> Biodomain: Proteostasis, Apoptosis, Immune Response, Cell Cycle, Autophagy

Pathway: Inorganic Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, Immune Response

Pathway: Skin Epidermis Development -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Proteostasis, Endolysosome

Pathway: Response To Mitochondrial Depolarisation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Proteostasis

Pathway: Mechanosensitive Potassium Channel Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism

Pathway: Biofilm Matrix Disassembly -> Biodomain: Immune Response, Autophagy, Oxidative Stress, Proteostasis, Structural Stabilization

Pathway: Golgi Apparatus Subcompartment -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Immune Response

Pathway: Xenophagy -> Biodomain: Autophagy, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Presynapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Myelination

Pathway: Postsynapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Global Gene Silencing By Mrna Cleavage -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, Immune Response

Pathway: Membrane Protein Complex -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Plasma Membrane Protein Complex -> Biodomain: Synapse, Structural Stabilization, Immune Response, Mitochondrial Metabolism, Apoptosis

Pathway: Outer Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Structural Stabilization

Pathway: Inner Mitochondrial Membrane Protein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Respiratory Chain Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy

Pathway: Non-Motile Cilium Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism

Pathway: Mrna Cap Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair

Pathway: Nitrite Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy, DNA Repair

Pathway: Neurotransmitter Reuptake -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Nuclear Chromosome Segregation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Autophagy

Pathway: Spontaneous Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Modulation Of Excitatory Postsynaptic Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Evoked Excitatory Postsynaptic Potential -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Apoptosis

Pathway: Bmp Receptor Activity -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Proteostasis, Endolysosome

Pathway: Endoplasmic Reticulum Tubular Network Membrane -> Biodomain: Endolysosome, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism

Pathway: Endoplasmic Reticulum Subcompartment -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: Modulation Of Inhibitory Postsynaptic Potential -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Intestinal Folate Absorption -> Biodomain: Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Proteostasis, Apoptosis

Pathway: Presynaptic Endosome -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Oxidative Stress

Pathway: Presynaptic Active Zone Cytoplasmic Component -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Presynaptic Endocytic Zone -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism

Pathway: Postsynaptic Recycling Endosome -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Immune Response

Pathway: Folate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Autophagy, DNA Repair

Pathway: Postsynaptic Density Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Protein Transport Along Microtubule -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Synapse, Mitochondrial Metabolism

Pathway: Postsynaptic Early Endosome -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Postsynaptic Endocytic Zone -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Oxidative Stress

Pathway: Postsynaptic Endosome -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Immune Response

Pathway: Podocyte Foot -> Biodomain: Synapse, Vasculature, Proteostasis, Apoptosis, Immune Response

Pathway: Sequence-Specific Single Stranded Dna Binding -> Biodomain: DNA Repair, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Cellular Detoxification Of Cadmium Ion -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis, DNA Repair

Pathway: Extrinsic Component Of Synaptic Vesicle Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Lytic Vacuole Membrane -> Biodomain: Endolysosome, Autophagy, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Hcn Channel Complex -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Intestinal Lipid Absorption -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress

Pathway: Membrane Microdomain -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis

Pathway: Actin-Based Cell Projection -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Cluster Of Actin-Based Cell Projections -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy

Pathway: Intramembranous Bone Growth -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Immune Response, Apoptosis, Cell Cycle

Pathway: Bone Growth -> Biodomain: Immune Response, Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle

Pathway: Cellular Oxidant Detoxification -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Action Potential Propagation -> Biodomain: Synapse, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Proteostasis, Apoptosis

Pathway: Epididymosome -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Vesicle-Mediated Transport To The Plasma Membrane -> Biodomain: Vesicle-Mediated Transport To The Plasma Membrane, Autophagy, Proteostasis, Synapse, Immune Response

Pathway: Neurotransmitter Receptor Transport To Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Structural Constituent Of Postsynaptic Specialization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Maintenance Of Postsynaptic Specialization Structure -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Apoptosis

Pathway: Structural Constituent Of Presynaptic Active Zone -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Synapse Pruning -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Cell Cycle

Pathway: Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Endolysosome, Autophagy, Immune Response, Structural Stabilization

Pathway: Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Autophagy

Pathway: Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Extrinsic Component Of Presynaptic Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Extrinsic Component Of Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Extrinsic Component Of Presynaptic Endocytic Zone Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Structural Stabilization

Pathway: Postsynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Regulation Of Action Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Membrane Depolarization During Action Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Membrane Repolarization During Action Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Av Node Cell Action Potential -> Biodomain: Vasculature, Synapse, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Regulation Of Bundle Of His Cell Action Potential -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Regulation Of Purkinje Myocyte Action Potential -> Biodomain: Vasculature, Synapse, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Regulation Of Sa Node Cell Action Potential -> Biodomain: Vasculature, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis

Pathway: Regulation Of Neuronal Action Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Cardiac Muscle Cell Action Potential Involved In Regulation Of Contraction -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Regulation Of Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Membrane Depolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis

Pathway: Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Structural Stabilization

Pathway: Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Apoptosis, Proteostasis, Cell Cycle

Pathway: Structural Constituent Of Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Structural Constituent Of Postsynaptic Density -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Retrograde Trans-Synaptic Signaling By Endocannabinoid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Retrograde Trans-Synaptic Signaling By Nitric Oxide, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Postsynaptic Signal Transduction -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Presynaptic Signal Transduction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Axonal Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress

Pathway: Dendritic Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Anterograde Dendritic Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle

Pathway: Dendritic Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Proteostasis, Oxidative Stress

Pathway: Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Neurotransmitter Receptor Transport, Postsynaptic Endosome To Lysosome -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Apoptosis

Pathway: Postsynaptic Recycling Endosome Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Receptor Diffusion Trapping -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Immune Response

Pathway: Presynaptic Endosome Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Anterograde Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Autophagy, Oxidative Stress, Proteostasis

Pathway: Retrograde Axonal Transport Of Mitochondrion -> Biodomain: Synapse, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle

Pathway: Anterograde Dendritic Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Immune Response

Pathway: Extracellular Matrix Of Synaptic Cleft -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response

Pathway: Perisynaptic Extracellular Matrix -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Immune Response

Pathway: Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Neurotransmitter Receptor Transport Postsynaptic Membrane To Endosome -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Oxidative Stress

Pathway: Neurotransmitter Receptor Transport To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Postsynaptic Neurotransmitter Receptor Diffusion Trapping -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Anterograde Dendritic Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Structural Constituent Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Postsynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Excitatory Chemical Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Inhibitory Chemical Synaptic Transmission -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Glutamatergic Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Cholinergic Synapse -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Gaba-Ergic Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response

Pathway: Symmetric, Gaba-Ergic, Inhibitory Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Neuron To Neuron Synapse -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Asymmetric, Glutamatergic, Excitatory Synapse -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Myelination

Pathway: Regulation Of Modification Of Synapse Structure, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Nmda Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis

Pathway: Ampa Selective Glutamate Receptor Signaling Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Neuronal Dense Core Vesicle -> Biodomain: Synapse, Neuronal Dense Core Vesicle, Proteostasis, Immune Response, Apoptosis

Pathway: Extrinsic Component Of Postsynaptic Early Endosome Membrane -> Biodomain: Synapse, Autophagy, Endolysosome, Proteostasis, Oxidative Stress

Pathway: Vesicle-Mediated Transport In Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Cell Cycle

Pathway: Modification Of Postsynaptic Structure -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Neuronal Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Immune Response, Apoptosis, Oxidative Stress, Proteostasis

Pathway: Neuronal Dense Core Vesicle Membrane -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism

Pathway: Neuronal Dense Core Vesicle Lumen -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Maintenance Of Protein Localization At Cell Tip -> Biodomain: Proteostasis, Synapse, Autophagy, Cell Cycle, Mitochondrial Metabolism

Pathway: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Vesicle Tethering -> Biodomain: Vesicle Tethering, Autophagy, Endolysosome, Proteostasis, Synapse

Pathway: Vesicle Tethering Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Mitochondrial Metabolism

