Once upon a time in a shimmering forest, a gentle unicorn named Luna discovered a hidden glade filled with sparkling stardust. Each night, she sprinkled the stardust over her friends, making their dreams come true as they peacefully slept under the twinkling sky. As the moonlight danced on their fur, Luna whispered, “May your dreams light up the world, just as you light up my heart.”
Pathway: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, DNA Repair

Pathway: Perinuclear Endoplasmic Reticulum Lumen -> Biodomain: Endolysosome, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: Vesicle Tethering -> Biodomain: Vesicle Tethering, Autophagy, Structural Stabilization, Immune Response, Endolysosome

Pathway: Vesicle Tethering Complex -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Vesculature

Pathway: Ceramide Floppase Activity -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Oxidative Stress, Proteostasis

Pathway: Sphingolipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Mitochondrial Metabolism

Pathway: Ceramide Translocation -> Biodomain: Lipid Metabolism, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Oxidative Stress

Pathway: Vesicle Tethering To Golgi -> Biodomain: Vesicle Tethering To Golgi, Structural Stabilization, Autophagy, Immune Response, Mitochondrial Metabolism

Pathway: Vesicle Tethering To Endoplasmic Reticulum -> Biodomain: Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism

Pathway: Clathrin Coat Assembly Involved In Endocytosis -> Biodomain: Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism, Structural Stabilization

Pathway: Vesicle Scission -> Biodomain: Endolysosome, Autophagy, Vesculature, Proteostasis, Apoptosis

Pathway: Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Cell Cycle

Pathway: Postsynapse Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization

Pathway: Regulation Of Postsynaptic Membrane Neurotransmitter Receptor Levels -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress

Pathway: Mitochondrion-Derived Vesicle -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Structural Stabilization

Pathway: Mitochondrion To Lysosome Vesicle-Mediated Transport -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress, Proteostasis

Pathway: Histone-Dependent Dna Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle

Pathway: Borc Complex -> Biodomain: Endolysosome, Autophagy, Structural Stabilization, Immune Response, Mitochondrial Metabolism

Pathway: Supramolecular Complex -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism

Pathway: Postsynaptic Specialization Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Axonal Transport Of Messenger Ribonucleoprotein Complex -> Biodomain: Synapse, Autophagy, RNA Spliceosome, Proteostasis, Mitochondrial Metabolism

Pathway: Postsynaptic Specialization, Intracellular Component -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Postsynaptic Density, Intracellular Component -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Calcium Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis

Pathway: Ligand-Gated Monoatomic Cation Channel Activity -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Ligand-Gated Monoatomic Anion Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Channel Activator Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Potassium Channel Activator Activity -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Ion Channel Regulator Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Synapse, Cell Cycle

Pathway: Microtubule-Based Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Cell Cycle, Structural Stabilization

Pathway: Chromosome, Subtelomeric Region -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Trna 5'-End Processing -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Autophagy

Pathway: Rna Polymerase Ii C-Terminal Domain Binding -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle, Proteostasis

Pathway: Somato-Dendritic Dopamine Secretion -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Mitochondrial [2Fe-2S] Assembly Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis

Pathway: Estrogen Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis

Pathway: Presynaptic Actin Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Apoptosis, Cell Cycle

Pathway: Regulation Of Exocytic Insertion Of Neurotransmitter Receptor To Postsynaptic Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism

Pathway: Extrinsic Component Of Postsynaptic Density Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy

Pathway: Regulation Of Postsynaptic Neurotransmitter Receptor Internalization -> Biodomain: Synapse, Autophagy, Oxidative Stress, Proteostasis, Immune Response

Pathway: Regulation Of Postsynaptic Specialization Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Regulation Of Postsynaptic Density Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Regulation Of Neurotransmitter Receptor Transport, Endosome To Postsynaptic Membrane -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Endolysosome

Pathway: Serotonergic Synapse -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Proteostasis

Pathway: Regulation Of Recycling Endosome Localization Within Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Cell Cycle

Pathway: Regulation Of Modification Of Postsynaptic Structure -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Cell Cycle

Pathway: Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Regulation Of Presynaptic Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Synaptic Signaling By Nitric Oxide -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Immune Response, Proteostasis

Pathway: Postsynaptic Specialization Membrane Of Symmetric Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Postsynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress

Pathway: Presynaptic Modulation Of Chemical Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Presynapse Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response

Pathway: Postsynapse Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Immune Response

Pathway: Regulation Of Presynapse Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Regulation Of Postsynapse Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Regulation Of Retrograde Trans-Synaptic Signaling By Endocanabinoid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Regulation Of Synaptic Membrane Adhesion -> Biodomain: Synapse, Proteostasis, Vasculature, Immune Response, Apoptosis

Pathway: Zinc Ion Import Into Synaptic Vesicle -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy

Pathway: Structural Constituent Of Presynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Presynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Trans-Synaptic Signaling By Bdnf, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Structural Constituent Of Postsynaptic Intermediate Filament Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Postsynaptic Intermediate Filament Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle

Pathway: Structural Constituent Of Postsynapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Presynaptic Cytoskeleton Organization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Apoptosis, Immune Response

Pathway: Postsynaptic Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response

Pathway: Postsynaptic Spectrin-Associated Cytoskeleton -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Immune Response

Pathway: Trans-Synaptic Signaling By Bdnf -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, Apoptosis

Pathway: Cerebellar Golgi Cell To Granule Cell Synapse -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy

Pathway: Extrinsic Component Of Synaptic Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Structural Stabilization

Pathway: Caveola Neck -> Biodomain: Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Vesicle Fusion To Plasma Membrane -> Biodomain: Synapse, Vesicle Fusion To Plasma Membrane, Autophagy, Immune Response, Structural Stabilization

Pathway: Calcium-Dependent Activation Of Synaptic Vesicle Fusion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Secretory Vesicle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis

Pathway: Synaptic Vesicle Cycle -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism

Pathway: Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Cell Cycle

Pathway: Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism

Pathway: Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Supramolecular Fiber -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Tau Homeostasis, Mitochondrial Metabolism

Pathway: Polymeric Cytoskeletal Fiber -> Biodomain: Structural Stabilization, Proteostasis, Cytoskeletal Dynamics, Autophagy, Cell Cycle

Pathway: Vesicle Cytoskeletal Trafficking -> Biodomain: Synapse, Autophagy, Proteostasis, Mitochondrial Metabolism, Immune Response

Pathway: Dense Core Granule Cytoskeletal Transport -> Biodomain: Proteostasis, Synapse, Autophagy, Structural Stabilization, Immune Response

Pathway: Presynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy

Pathway: Postsynaptic Cytosol -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response

Pathway: Presynaptic Dense Core Vesicle Exocytosis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Vasculature

Pathway: Postsynapse To Nucleus Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Epigenetic

Pathway: G Protein-Coupled Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Synaptic Vesicle Endosomal Processing -> Biodomain: Synapse, Autophagy, Proteostasis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Positive Regulation Of Presynaptic Cytosolic Calcium Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Calcium Ion Binding Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Binding and Homeostasis, Apoptosis

Pathway: Synaptic Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Trans-Synaptic Signaling -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis

Pathway: Synaptic Signaling Via Neuropeptide -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Mitochondrial Metabolism

Pathway: Perisynaptic Space -> Biodomain: Synapse, Structural Stabilization, Immune Response, Oxidative Stress, Autophagy

Pathway: Trans-Synaptic Signaling By Trans-Synaptic Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress

Pathway: Trans-Synaptic Signaling, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Trans-Synaptic Signaling By Endocannabinoid, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Immune Response

Pathway: Trans-Synaptic Signaling By Trans-Synaptic Complex, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Maintenance Of Synapse Structure -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Immune Response

Pathway: Synaptic Membrane Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Maintenance Of Postsynaptic Density Structure -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Immune Response, Apoptosis

Pathway: Modification Of Synaptic Structure -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress

Pathway: Chemical Synaptic Transmission, Postsynaptic -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response

Pathway: Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Calcium Homeostasis

Pathway: Calcium Ion Binding Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Calcium Ion Binding and Homeostasis

Pathway: Postsynaptic Specialization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Glutamatergic Postsynaptic Density -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Myelination

Pathway: Regulation Of Protein Catabolic Process At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Apoptosis

Pathway: Regulation Of Protein Catabolic Process At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy

Pathway: Regulation Of Translation At Presynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism

Pathway: Regulation Of Translation At Postsynapse, Modulating Synaptic Transmission -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis

Pathway: Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Calcium Homeostasis, Proteostasis, Immune Response

Pathway: Serotonin Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Regulation Of Neurotransmitter Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Apoptosis

Pathway: Neurotransmitter Receptor Regulator Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Ligand-Gated Calcium Channel Activity -> Biodomain: Synapse, Oxidative Stress, Apoptosis, Calcium Homeostasis, Immune Response

Pathway: Regulation Of Action Potential Firing Rate -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Microtubule Plus-End Directed Mitotic Chromosome Migration -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, Immune Response

Pathway: Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, DNA Repair, Structural Stabilization

Pathway: Regulation Of Action Potential Firing Pattern -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Mitochondrial Metabolism

Pathway: Microtubule Lateral Binding -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Tau Homeostasis

Pathway: Action Potential Initiation -> Biodomain: Synapse, Apoptosis, Proteostasis, Mitochondrial Metabolism, Vasculature

Pathway: Regulation Of Action Potential Firing Threshold -> Biodomain: Synapse, Immune Response, Apoptosis, Proteostasis, Oxidative Stress

Pathway: Protein Localization To Axon -> Biodomain: Synapse, Proteostasis, Axon, Immune Response, Mitochondrial Metabolism

Pathway: Matrix Side Of Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Ventricular Cardiac Muscle Cell Membrane Repolarization -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle

Pathway: Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Calcium Homeostasis

Pathway: Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Oxidative Stress

Pathway: Postsynaptic Specialization Of Symmetric Synapse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response

Pathway: Postsynaptic Neurotransmitter Receptor Cycle -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Oxidative Stress

Pathway: Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress

Pathway: Neurotransmitter Receptor Transport -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Autophagy

Pathway: Endosome To Plasma Membrane Protein Transport -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Immune Response

Pathway: Neurotransmitter Receptor Transport, Endosome To Plasma Membrane -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress

Pathway: Anterograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle

Pathway: Retrograde Axonal Protein Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis

Pathway: Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Mitochondrial Metabolism

Pathway: Cell Cortex Region -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Apoptosis

Pathway: Regulation Of Skeletal Muscle Contraction By Action Potential -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism

Pathway: Ficolin-1-Rich Granule Membrane -> Biodomain: Immune Response, Endolysosome, Apoptosis, Structural Stabilization, Oxidative Stress

Pathway: Cytolytic Granule Membrane -> Biodomain: Immune Response, Cytolytic Granule Membrane, Apoptosis, Structural Stabilization, Endolysosome

Pathway: Deubiquitinase Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response

Pathway: Protein Histidine Phosphatase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, DNA Repair

Pathway: Nucleolar Exosome (Rnase Complex) -> Biodomain: RNA Spliceosome, Autophagy, DNA Repair, Proteostasis, Immune Response

Pathway: Estrogen 16-Alpha-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis

Pathway: Estrogen 2-Hydroxylase Activity -> Biodomain: Oxidative Stress, Estrogen Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Apoptosis

Pathway: Vascular Endothelial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Structural Stabilization

Pathway: Protein Folding Chaperone Complex -> Biodomain: Proteostasis, Apoptosis, Autophagy, DNA Repair, Mitochondrial Metabolism

Pathway: Acyl-L-Homoserine-Lactone Lactonohydrolase Activity -> Biodomain: Oxidative Stress, Autophagy, Proteostasis, Lipid Metabolism, Immune Response

Pathway: Proline Dipeptidase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Lipid Metabolism, Autophagy

Pathway: Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy

Pathway: Nadh-Dependent Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis

Pathway: Beta,Beta-Carotene-9',10'-Cleaving Oxygenase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: Homocarnosine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy

Pathway: Heparan Sulfate N-Deacetylase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Immune Response, Structural Stabilization

Pathway: Dermatan 2-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Immune Response, Structural Stabilization

Pathway: Farnesylcysteine Lyase Activity -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy

Pathway: Very-Long-Chain (3R)-3-Hydroxyacyl-Coa Dehydratase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: 3-Beta-Hydroxysteroid Dehydrogenase (Nad+)/C4-Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis

Pathway: Protein-Ribulosamine 3-Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, DNA Repair, Metal Binding and Homeostasis

Pathway: Protein-Fructosamine 3-Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress

Pathway: Cortisol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis

Pathway: Trna-Dihydrouridine16 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair

Pathway: Trna-Dihydrouridine17 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, DNA Repair, Oxidative Stress

Pathway: Trna-Dihydrouridine20 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Metal Binding and Homeostasis, DNA Repair

Pathway: Trna-Dihydrouridine47 Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair

Pathway: Trna-Dihydrouridine20A Synthase Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress, DNA Repair

Pathway: Trna-Dihydrouridine20B Synthase Activity -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, DNA Repair, Oxidative Stress

Pathway: 1,8-Cineole 2-Exo-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis

Pathway: 11-Cis-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis

Pathway: Polyprenol Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress

Pathway: Mycophenolic Acid Acyl-Glucuronide Esterase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Autophagy, Immune Response, DNA Repair

Pathway: Decanoate-Coa Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Structural Stabilization

Pathway: Trna-4-Demethylwyosine Synthase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, DNA Repair

Pathway: Trna 4-Demethylwyosine Alpha-Amino-Alpha-Carboxypropyltransferase Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Proteostasis, DNA Repair

Pathway: Trna(Phe) (7-(3-Amino-3-Carboxypropyl)Wyosine37-C2)-Hydroxylase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, DNA Repair, Oxidative Stress

Pathway: Peptide Chain Release Factor N(5)-Glutamine Methyltransferase Activity -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, DNA Repair

Pathway: [Protein]-3-O-(N-Acetyl-D-Glucosaminyl)-L-Serine/L-Threonine O-N-Acetyl-Alpha-D-Glucosaminase Activity -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism, Immune Response

Pathway: Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

Pathway: Gdp-Man:Man(2)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Metal Binding and Homeostasis

Pathway: Nadph Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis, Proteostasis

Pathway: Very-Long-Chain Enoyl-Coa Reductase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis

Pathway: Sphingolipid C4-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis

